source,target,bytes,source_sha256,target_sha256,classification,note
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\INTAKE_REVIEW_TASK.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\INTAKE_REVIEW_TASK.md,501,2774aa523d8df87dd1afa987d1f4a7a5a301d94e320471196eb4a510dab8fc4b,2774aa523d8df87dd1afa987d1f4a7a5a301d94e320471196eb4a510dab8fc4b,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\INTERNET_STRATEGY_SCAN_TASK.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\INTERNET_STRATEGY_SCAN_TASK.md,550,ff9fedb0f6ced6c13682024fc4b8cf9ed226cc0b1ccb04a9a4b0456e236af265,ff9fedb0f6ced6c13682024fc4b8cf9ed226cc0b1ccb04a9a4b0456e236af265,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\RESEARCH_STRATEGY_TASK.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\RESEARCH_STRATEGY_TASK.md,495,68bd376e1e6e51620f28cd197a02d430d0c2bd2414439c17f9f5ae578c7285db,68bd376e1e6e51620f28cd197a02d430d0c2bd2414439c17f9f5ae578c7285db,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\START_HERE_FOR_GEMINI.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\GEMINI\START_HERE_FOR_GEMINI.md,528,d5b00b79a7dc966b1a62b7917e6c02ed44a928a0bafe91b030825688a9de7053,d5b00b79a7dc966b1a62b7917e6c02ed44a928a0bafe91b030825688a9de7053,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\AI_TASK_TEMPLATE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\AI_TASK_TEMPLATE.md,723,bce61c797ee17061955375f1f9f343a7c059b4bb3f6610e45b52b01664f96323,bce61c797ee17061955375f1f9f343a7c059b4bb3f6610e45b52b01664f96323,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\HANDOFF_TEMPLATE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\HANDOFF_TEMPLATE.md,493,9919f3ec86b1994df79090c7458bcba05796215c941307a8f074cd07b600e1aa,9919f3ec86b1994df79090c7458bcba05796215c941307a8f074cd07b600e1aa,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\REPORT_FORMAT_TEMPLATE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\REPORT_FORMAT_TEMPLATE.md,491,b29bb5b04c0cacd57395f3caa759f05b1693d9a49898b1145e55898e92d96713,b29bb5b04c0cacd57395f3caa759f05b1693d9a49898b1145e55898e92d96713,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\SAFETY_CHECKLIST.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\01_PROMPTS\SHARED\SAFETY_CHECKLIST.md,604,e76e50f9d83c2d356558ccb1ebfa9a12488d2e01cbc50ec72090350bc4c48ae3,e76e50f9d83c2d356558ccb1ebfa9a12488d2e01cbc50ec72090350bc4c48ae3,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\02_TASKS\NEXT_RECOMMENDED_TASKS.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_TASKS\NEXT_RECOMMENDED_TASKS.md,549,e801c544f742f43d019cc2f1023b1e032aa5edfd875d4857d8737374087aa694,e801c544f742f43d019cc2f1023b1e032aa5edfd875d4857d8737374087aa694,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\02_TASKS\TASK_HISTORY.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_TASKS\TASK_HISTORY.json,6708,19686224991a351b36390ad07f304f9627217dbbb9ad72e7bb7bc76e34bef2f8,19686224991a351b36390ad07f304f9627217dbbb9ad72e7bb7bc76e34bef2f8,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\02_TASKS\TASK_QUEUE.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_TASKS\TASK_QUEUE.json,14321,358645e5f40d6d955b5ac23811108b32addd3e6d99fb8dad294b1fde23aa76ed,358645e5f40d6d955b5ac23811108b32addd3e6d99fb8dad294b1fde23aa76ed,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\02_TASKS\TASK_TEMPLATE.md,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_TASKS\TASK_TEMPLATE.md,804,7a77b53796426338bd8c1317076beaa6bd83af52aa06993d7eb4384765455d90,7a77b53796426338bd8c1317076beaa6bd83af52aa06993d7eb4384765455d90,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\02_TASKS\.locks\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_TASKS\.locks\.gitkeep,5,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\02_TASKS\inbox\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_TASKS\inbox\.gitkeep,5,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\02_TASKS\outbox\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_TASKS\outbox\.gitkeep,5,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\BACKTEST_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\BACKTEST_STATUS.json,244,52e51bc2afc50d378061aea544c761a3593a3d99212d3614b1d396f521ff0812,52e51bc2afc50d378061aea544c761a3593a3d99212d3614b1d396f521ff0812,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\CURRENT_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\CURRENT_STATUS.json,855,132f4b156bcd6b600739fbaf737aaf6b65cfff85962c8c4b14eac5b7c434632b,132f4b156bcd6b600739fbaf737aaf6b65cfff85962c8c4b14eac5b7c434632b,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\DATA_HEALTH_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\DATA_HEALTH_STATUS.json,144,2f289beb386528c4660664afc76a79dbf7625c3046901e891e41ff8ef8d0d0ef,2f289beb386528c4660664afc76a79dbf7625c3046901e891e41ff8ef8d0d0ef,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\LIVEOPS_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\LIVEOPS_STATUS.json,167,935a296bffeaced4b63f47cbcb0743bd6d568219747e012aa9d4c769d95404e4,935a296bffeaced4b63f47cbcb0743bd6d568219747e012aa9d4c769d95404e4,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\OPTIMIZATION_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\OPTIMIZATION_STATUS.json,124,2af7eda3c2d843eb3f908adddbda97832a2030dc2d1e035024422852e9186e95,2af7eda3c2d843eb3f908adddbda97832a2030dc2d1e035024422852e9186e95,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\PARITY_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\PARITY_STATUS.json,330,513c93e3dd9cc056693b1b99a95cde7e39adafe2f6b3a8ae85d8ddfc0f88f2c1,513c93e3dd9cc056693b1b99a95cde7e39adafe2f6b3a8ae85d8ddfc0f88f2c1,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\PINE_BUILDER_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\PINE_BUILDER_STATUS.json,256,97707189bcdde1b7fb4570dfe2a372682158d1d29345417a1d2d3d672e357c65,97707189bcdde1b7fb4570dfe2a372682158d1d29345417a1d2d3d672e357c65,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\QUANTLENS_STATUS.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\QUANTLENS_STATUS.json,198,13a2025881d91f9c4c786c05e8ecb190d078b50786c6679f996203b02acff22a,13a2025881d91f9c4c786c05e8ecb190d078b50786c6679f996203b02acff22a,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\REPORT_MANIFEST.json,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\REPORT_MANIFEST.json,6732,0f8517d5a261a2b3cb59e9ecabe0d2a517c2734f8bb3fdc32a0e770d4f125abd,0f8517d5a261a2b3cb59e9ecabe0d2a517c2734f8bb3fdc32a0e770d4f125abd,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\status_events.jsonl,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\status_events.jsonl,6854,c688517f3bb677e228ecb519c1a8e170bb0bfadf84575568256f8bb6cd03084d,c688517f3bb677e228ecb519c1a8e170bb0bfadf84575568256f8bb6cd03084d,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\.backups\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\.backups\.gitkeep,5,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\.locks\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\.locks\.gitkeep,5,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\03_STATUS\quarantine\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\03_STATUS\quarantine\.gitkeep,5,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,f660a7996deacfbc7560e4240054a8ad82eb02fe25a95064257e07084bcacb85,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
C:\LAB\tradingview-lab\MTC_COMMAND_CENTER\04_REPORTS\ai_handoffs\.gitkeep,C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\04_REPORTS\ai_handoffs\.gitkeep,43,0c372dff440920efcfe3cf3df89c57ac223ec864103eda1bb10b0c65924ab0fb,0c372dff440920efcfe3cf3df89c57ac223ec864103eda1bb10b0c65924ab0fb,ACTIVE_KEEP_CANONICAL_MTC_COMMAND_CENTER,
