"source_path","target_path","relative_path","size_bytes","source_sha256","target_sha256","hash_match"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\index.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\index.d.ts","dist\types\index.d.ts","998","3F078240A581302B75B94370F53A87044C0884F54FAF3C0903C2DA029B6FF5BB","3F078240A581302B75B94370F53A87044C0884F54FAF3C0903C2DA029B6FF5BB","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\Indicator.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\Indicator.d.ts","dist\types\Indicator.d.ts","173","6C5113160A2BCD1DFB7D41BB9AFDEEE2648B1A7E59047B4DA961C21C16BD2F42","6C5113160A2BCD1DFB7D41BB9AFDEEE2648B1A7E59047B4DA961C21C16BD2F42","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\aggregation.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\aggregation.d.ts","dist\types\marketData\aggregation.d.ts","1647","60C35A2C163C8F3046485AB789811BCBBD4A0178FF5C1FB0672044870D6DE1AE","60C35A2C163C8F3046485AB789811BCBBD4A0178FF5C1FB0672044870D6DE1AE","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\Alpaca\AlpacaProvider.class.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\Alpaca\AlpacaProvider.class.d.ts","dist\types\marketData\Alpaca\AlpacaProvider.class.d.ts","4119","7EE9AF8AC9B08F15BD22672E28297EFBBF0CE36D66BDEBDE525753B1B909E12E","7EE9AF8AC9B08F15BD22672E28297EFBBF0CE36D66BDEBDE525753B1B909E12E","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\BaseProvider.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\BaseProvider.d.ts","dist\types\marketData\BaseProvider.d.ts","3786","41370EAFA93E1C25D1CFD9242EDF08B3D0454FCD3466437856BDB45A668330BC","41370EAFA93E1C25D1CFD9242EDF08B3D0454FCD3466437856BDB45A668330BC","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\Binance\BinanceProvider.class.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\Binance\BinanceProvider.class.d.ts","dist\types\marketData\Binance\BinanceProvider.class.d.ts","1367","97980F2505D6AEF450770157A89AAF7B364AFDEAC46AB705CFE5BE24BFEA6216","97980F2505D6AEF450770157A89AAF7B364AFDEAC46AB705CFE5BE24BFEA6216","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\FMP\FMPProvider.class.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\FMP\FMPProvider.class.d.ts","dist\types\marketData\FMP\FMPProvider.class.d.ts","2667","AB503E9F1B3D88E7496AC30BA64BCB60CC2EE4A3663FE9C3C6199406E2D288A2","AB503E9F1B3D88E7496AC30BA64BCB60CC2EE4A3663FE9C3C6199406E2D288A2","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\IProvider.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\IProvider.d.ts","dist\types\marketData\IProvider.d.ts","2496","6B5982F3BDF73AF5E1A0600B6951E13799A88EDD4747668A0EC5BCC096B2ABD3","6B5982F3BDF73AF5E1A0600B6951E13799A88EDD4747668A0EC5BCC096B2ABD3","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\Mock\MockProvider.class.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\Mock\MockProvider.class.d.ts","dist\types\marketData\Mock\MockProvider.class.d.ts","2788","EE0D190320BDD2A4BB508471979B15764A186BBAFB450C8B1EB4AB7CCDDD539D","EE0D190320BDD2A4BB508471979B15764A186BBAFB450C8B1EB4AB7CCDDD539D","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\Provider.class.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\Provider.class.d.ts","dist\types\marketData\Provider.class.d.ts","451","1FA13CD7BF114BE230549372F8140B865E6E9FC4ECC431D773CA96A48C0145D8","1FA13CD7BF114BE230549372F8140B865E6E9FC4ECC431D773CA96A48C0145D8","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\marketData\types.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\marketData\types.d.ts","dist\types\marketData\types.d.ts","4513","31AB37847E52C28B373D0E1CC28B1CFA8DE54B23464370DC43E54A8795CEDB94","31AB37847E52C28B373D0E1CC28B1CFA8DE54B23464370DC43E54A8795CEDB94","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\array.index.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\array.index.d.ts","dist\types\namespaces\array\array.index.d.ts","190","04BE0C61F270D6D26F8A3E07169EEB441D49CADB3C8836CDF3BF0FD7833088CD","04BE0C61F270D6D26F8A3E07169EEB441D49CADB3C8836CDF3BF0FD7833088CD","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\abs.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\abs.d.ts","dist\types\namespaces\array\methods\abs.d.ts","139","7161BC5B081BD34CCC62846A92CB2A83449A56318D005FD03E4CD3CBC7BA6AAA","7161BC5B081BD34CCC62846A92CB2A83449A56318D005FD03E4CD3CBC7BA6AAA","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\avg.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\avg.d.ts","dist\types\namespaces\array\methods\avg.d.ts","184","4B97BBD37A7A124B53E598DD5746384713CE7F22EC09B86A8EE3230025C07BED","4B97BBD37A7A124B53E598DD5746384713CE7F22EC09B86A8EE3230025C07BED","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\binary_search.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\binary_search.d.ts","dist\types\namespaces\array\methods\binary_search.d.ts","152","C4E2E0B6D1E12BA03F2B636CA1D66DB574370E9B3C24A76C35901540D40781AE","C4E2E0B6D1E12BA03F2B636CA1D66DB574370E9B3C24A76C35901540D40781AE","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\binary_search_leftmost.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\binary_search_leftmost.d.ts","dist\types\namespaces\array\methods\binary_search_leftmost.d.ts","161","108C3FF961723C83E62B615E37AD8C7EC8EC05BFD93101A719B00448FF6F9A9D","108C3FF961723C83E62B615E37AD8C7EC8EC05BFD93101A719B00448FF6F9A9D","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\binary_search_rightmost.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\binary_search_rightmost.d.ts","dist\types\namespaces\array\methods\binary_search_rightmost.d.ts","162","1FB10734C3423FD0D39757F46BF67BC4EB94D9ECC13BD113FCFE20D99D773E04","1FB10734C3423FD0D39757F46BF67BC4EB94D9ECC13BD113FCFE20D99D773E04","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\clear.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\clear.d.ts","dist\types\namespaces\array\methods\clear.d.ts","130","2A937FAB8E58EC6D90762B50FFA37C56CDA6FB52D29A6A2BDF9D3264580C4A6A","2A937FAB8E58EC6D90762B50FFA37C56CDA6FB52D29A6A2BDF9D3264580C4A6A","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\concat.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\concat.d.ts","dist\types\namespaces\array\methods\concat.d.ts","166","C3881EB7FB337F0508EE39E3C39FA800C760A31E545535EA746D3F36062488F3","C3881EB7FB337F0508EE39E3C39FA800C760A31E545535EA746D3F36062488F3","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\copy.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\copy.d.ts","dist\types\namespaces\array\methods\copy.d.ts","140","D3771A106FD3CB4EB8501EF2834A2E32EA9B78E3B46923080C03BAD010058A4A","D3771A106FD3CB4EB8501EF2834A2E32EA9B78E3B46923080C03BAD010058A4A","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\covariance.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\covariance.d.ts","dist\types\namespaces\array\methods\covariance.d.ts","234","A9516270F1627A29176A39243327AA52CE9C0D2AF75618D1595624EDA7315452","A9516270F1627A29176A39243327AA52CE9C0D2AF75618D1595624EDA7315452","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\every.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\every.d.ts","dist\types\namespaces\array\methods\every.d.ts","133","55F09E2307633208C031F849BF65C1358456BDD72ADC89F35F9A3C5B44B5A31C","55F09E2307633208C031F849BF65C1358456BDD72ADC89F35F9A3C5B44B5A31C","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\fill.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\fill.d.ts","dist\types\namespaces\array\methods\fill.d.ts","225","A988D42A425D4A39DD3E24552345EEE4A52CD78656079CCC86A3FDC11680FE6E","A988D42A425D4A39DD3E24552345EEE4A52CD78656079CCC86A3FDC11680FE6E","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\first.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\first.d.ts","dist\types\namespaces\array\methods\first.d.ts","129","728F9C6687B5D225A4A41C7635B3847197C5D8A86C10F5C566B2D36D21194FB6","728F9C6687B5D225A4A41C7635B3847197C5D8A86C10F5C566B2D36D21194FB6","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\from.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\from.d.ts","dist\types\namespaces\array\methods\from.d.ts","137","250D2EE74960A5062405C368AEA4A052C40821007FAE368E3494F0A6FAAF81F0","250D2EE74960A5062405C368AEA4A052C40821007FAE368E3494F0A6FAAF81F0","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\get.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\get.d.ts","dist\types\namespaces\array\methods\get.d.ts","142","665CF86F1B5DC2E07F1D9B64324CD1996B52F04AA985354528D6F50BA8050503","665CF86F1B5DC2E07F1D9B64324CD1996B52F04AA985354528D6F50BA8050503","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\includes.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\includes.d.ts","dist\types\namespaces\array\methods\includes.d.ts","148","939E3B7DDB04E4E5030FCC3B119C3EEB172EC19DA0B291551302854BA4D78AE8","939E3B7DDB04E4E5030FCC3B119C3EEB172EC19DA0B291551302854BA4D78AE8","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\indexof.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\indexof.d.ts","dist\types\namespaces\array\methods\indexof.d.ts","146","056FC272808CCED18B8BD4F094FEDF67524A53710AFF1AD62A6CDE0DE4665358","056FC272808CCED18B8BD4F094FEDF67524A53710AFF1AD62A6CDE0DE4665358","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\insert.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\insert.d.ts","dist\types\namespaces\array\methods\insert.d.ts","158","EE5D22E8A0F8103845594859D1F3F67B50F7000D55ADF9B7C18DDE57EBB41439","EE5D22E8A0F8103845594859D1F3F67B50F7000D55ADF9B7C18DDE57EBB41439","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\join.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\join.d.ts","dist\types\namespaces\array\methods\join.d.ts","330","9650807E784ABB70A181E6FC44C286E549B5AE27A56D4F1B92DEB1C6FFD4DE13","9650807E784ABB70A181E6FC44C286E549B5AE27A56D4F1B92DEB1C6FFD4DE13","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\last.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\last.d.ts","dist\types\namespaces\array\methods\last.d.ts","128","A454ACC34F72D3ACCDD110246B476A618610678497160A9F7715A551C152FAC6","A454ACC34F72D3ACCDD110246B476A618610678497160A9F7715A551C152FAC6","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\lastindexof.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\lastindexof.d.ts","dist\types\namespaces\array\methods\lastindexof.d.ts","150","C5D1FA7FE8F01BFC300AE12918DC39B5FC1C9C9CD165EF313169AE467BABD0D1","C5D1FA7FE8F01BFC300AE12918DC39B5FC1C9C9CD165EF313169AE467BABD0D1","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\max.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\max.d.ts","dist\types\namespaces\array\methods\max.d.ts","144","A55218A9C466C9F67D6BDD0D75D84D372C231A6E45C526F932AF5816D933EB5F","A55218A9C466C9F67D6BDD0D75D84D372C231A6E45C526F932AF5816D933EB5F","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\median.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\median.d.ts","dist\types\namespaces\array\methods\median.d.ts","130","8ECBFF16597AB75B06300019C099424DE6C81D9708977A5DECDCE20CAD50774D","8ECBFF16597AB75B06300019C099424DE6C81D9708977A5DECDCE20CAD50774D","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\min.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\min.d.ts","dist\types\namespaces\array\methods\min.d.ts","144","CA9AE811E83C9782EE9DEE40BDC73B84ED975A2896E6A0813029FC6CC9B0DFB3","CA9AE811E83C9782EE9DEE40BDC73B84ED975A2896E6A0813029FC6CC9B0DFB3","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\mode.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\mode.d.ts","dist\types\namespaces\array\methods\mode.d.ts","128","C01FCD7992B779A40AC2020EA987A2260853841056FCFD338451324E90533EE6","C01FCD7992B779A40AC2020EA987A2260853841056FCFD338451324E90533EE6","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new.d.ts","dist\types\namespaces\array\methods\new.d.ts","212","DAEB169AC6BBE12F88940896B587BD4A11A42D719433459EEC7290EED37750FA","DAEB169AC6BBE12F88940896B587BD4A11A42D719433459EEC7290EED37750FA","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_bool.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_bool.d.ts","dist\types\namespaces\array\methods\new_bool.d.ts","163","8B41E3F9D126516C21D1280228A9785272CF705DD2C0194700888B8F7A6763AA","8B41E3F9D126516C21D1280228A9785272CF705DD2C0194700888B8F7A6763AA","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_box.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_box.d.ts","dist\types\namespaces\array\methods\new_box.d.ts","158","6664076866CD68ECE842CFA161DE279206E1D8ECE39C330B8CD12487989FC0F3","6664076866CD68ECE842CFA161DE279206E1D8ECE39C330B8CD12487989FC0F3","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_color.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_color.d.ts","dist\types\namespaces\array\methods\new_color.d.ts","160","7C746BB550F5121BD935F153CDC42F9CD1F59C8740C50408C8FFFBB1DAFEF85E","7C746BB550F5121BD935F153CDC42F9CD1F59C8740C50408C8FFFBB1DAFEF85E","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_float.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_float.d.ts","dist\types\namespaces\array\methods\new_float.d.ts","217","696DD2ACF6AD690B2372031881D49D8CE156A6ACFF18565D89B9DA29F2F878D9","696DD2ACF6AD690B2372031881D49D8CE156A6ACFF18565D89B9DA29F2F878D9","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_int.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_int.d.ts","dist\types\namespaces\array\methods\new_int.d.ts","215","72BD8B7C76757AA29448EC282577D65663755A5FBDA81B5C0E348EF58997941D","72BD8B7C76757AA29448EC282577D65663755A5FBDA81B5C0E348EF58997941D","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_label.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_label.d.ts","dist\types\namespaces\array\methods\new_label.d.ts","160","F1CA31F03194C24E53197181F6CBFBED3260E6F90286A426A48B595D16967A12","F1CA31F03194C24E53197181F6CBFBED3260E6F90286A426A48B595D16967A12","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_line.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_line.d.ts","dist\types\namespaces\array\methods\new_line.d.ts","159","3139B8ED2277EE0668FFC749BE4409253FFC6E2A981F556CE2E13F84B86C4295","3139B8ED2277EE0668FFC749BE4409253FFC6E2A981F556CE2E13F84B86C4295","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_linefill.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_linefill.d.ts","dist\types\namespaces\array\methods\new_linefill.d.ts","163","25A2A95F66E6832C20872E176BF9690D6DFC141EB1BA2EED30E1DA10D6AB8419","25A2A95F66E6832C20872E176BF9690D6DFC141EB1BA2EED30E1DA10D6AB8419","True"
"C:\LAB\tradingview-lab\node_modules\pinets\dist\types\namespaces\array\methods\new_string.d.ts","C:\LAB\Tradingview_LAB_CLEAN\MTC_COMMAND_CENTER\02_MTC_BACKTEST\node_modules\pinets\dist\types\namespaces\array\methods\new_string.d.ts","dist\types\namespaces\array\methods\new_string.d.ts","164","4BBF173BBAD5CAB32251963EA7F80D3843DDDF6BC85B9F886B384455EC9223B7","4BBF173BBAD5CAB32251963EA7F80D3843DDDF6BC85B9F886B384455EC9223B7","True"
