file_path,title,url,youtube_id,classification,reason,length_chars,indicators,contains_entry,contains_exit
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_kao-hhaQnig_andrew_connell_event_driven_value_area.md,QuantLens Transcript Intake Report,https://youtu.be/kao-hhaQnig?si=51-SAFaUAH9-AE6y`,kao-hhaQnig,VALID_INTAKE_REPORT,intake markers present,17665,"ATR,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lpjTNygfnzM_deepak_swing_trading_triple_digit_returns.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=lpjTNygfnzM,lpjTNygfnzM,VALID_INTAKE_REPORT,intake markers present,18457,"ATR,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,QuantLens Transcript Intake Report — 283% Gain in 1 Year: The Story of the 22-Year-Old Swing Trader,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,lS9zbnLi1Gg,VALID_INTAKE_REPORT,intake markers present,26240,EMA,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,QuantLens Transcript Intake Report,https://youtu.be/lTiR1pc82EE?si=mvvql0aCc1yj_UO0,lTiR1pc82EE,VALID_INTAKE_REPORT,intake markers present,13564,"ATR,CANSLIM",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_QzzKqmPcB3A_ultimate_trading_guide_ep.md,QuantLens Transcript Intake Report — 7 Steps to Beat the Market - Ultimate Trading Guide Ep,https://youtu.be/QzzKqmPcB3A?si=gJB9Tj18DU75ZM8Y`,QzzKqmPcB3A,VALID_INTAKE_REPORT,intake markers present,15849,"ATR,EMA,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R1sNTB2Vh7w_peter_brandt_48_years_trading_lessons.md,QuantLens Transcript Intake Report — 48 Years of Trading Lessons with Market Wizard Peter Brandt,https://youtu.be/R1sNTB2Vh7w?si=XnkewkLqMeGAOqVg`,R1sNTB2Vh7w,VALID_INTAKE_REPORT,intake markers present,20424,ATR,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,"QuantLens Transcript Intake Report — Lance Breitstein / Trend Trading, Right-Side-of-V & Catalyst Momentum",https://youtu.be/R215f4fj7V8?si=L3wGYRC2vMT5Bjb_,R215f4fj7V8,VALID_INTAKE_REPORT,intake markers present,21428,"VWAP,atr,vwap",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_rdmjsbDVuoU_high_tight_flag_leif_soreide.md,QuantLens Transcript Intake Report — rdmjsbDVuoU,https://youtu.be/rdmjsbDVuoU?si=8qhVw_nmLLRHolwf`,rdmjsbDVuoU,VALID_INTAKE_REPORT,intake markers present,7671,"ATR,CANSLIM",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,QuantLens Transcript Intake Report,https://youtu.be/RTHRh_GLwH8?si=NyxT_vvKDrHwMv64,RTHRh_GLwH8,VALID_INTAKE_REPORT,intake markers present,13513,"ATR,atr,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_tynE-pwE-1o_pradeep_bonde_process_beats_setups_NEEDS_TRANSCRIPT.md,QuantLens Transcript Intake Report — Why Process Beats Setups in Trading / Pradeep Bonde,https://youtu.be/tynE-pwE-1o?si=E0Q_en-H8CP_3QEG`,tynE-pwE-1o,VALID_INTAKE_REPORT,intake markers present,7399,,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_uh5bALsKkLg_mark_minervini_market_wizard.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=uh5bALsKkLg,uh5bALsKkLg,VALID_INTAKE_REPORT,intake markers present,17791,ATR,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=UMgJ0P8fe0s,UMgJ0P8fe0s,VALID_INTAKE_REPORT,intake markers present,11467,"ATR,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,QuantLens Transcript Intake Report — How Clement Ang Achieved 150%+ Returns in the US Investing Championship,https://www.youtube.com/watch?v=zw96qkUn9_g`,zw96qkUn9_g,VALID_INTAKE_REPORT,intake markers present,19558,"ATR,EMA,MACD,SMA,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,QuantLens Transcript Intake Report — JS4_6gv0PpI,https://youtu.be/JS4_6gv0PpI?si=GdGc-i9bA1G9F8BS`,JS4_6gv0PpI,VALID_INTAKE_REPORT,intake markers present,12374,ATR,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_002_XOul_ECgHyA_sean_ryan_swing_system.md,QuantLens Transcript Intake Report — 002,https://youtu.be/XOul-ECgHyA?si=lGRJSk2sTxtqli3v,XOul-ECgHyA,VALID_INTAKE_REPORT,intake markers present,22145,"ATR,CANSLIM,RSI,rsi,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_003_KWxhLIOchvY_leos_aggressive_swing_tactics.md,QuantLens Transcript Intake Report — 003,https://youtu.be/KWxhLIOchvY?si=d0XTJw2jmEY699x-,KWxhLIOchvY,VALID_INTAKE_REPORT,intake markers present,26060,"ATR,CANSLIM",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_004_Nq_p7Bu1YT0_ariel_rs_leadergroup_swing.md,QuantLens Transcript Intake Report — 004,https://youtu.be/Nq-p7Bu1YT0?si=jA26J6RGZtMXyY4v,Nq-p7Bu1YT0,VALID_INTAKE_REPORT,intake markers present,25148,,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_005_7UfHg8PpDZk_marios_three_setup_superperformance.md,QuantLens Transcript Intake Report — 005,https://youtu.be/7UfHg8PpDZk?si=0mLL1k1aOKmlfSS4,7UfHg8PpDZk,VALID_INTAKE_REPORT,intake markers present,24119,ATR,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_006_hVCcVRxaxJY_ajay_jani_sell_rules.md,QuantLens Transcript Intake Report — 006,https://www.youtube.com/watch?v=hVCcVRxaxJY,hVCcVRxaxJY,VALID_INTAKE_REPORT,intake markers present,21520,"ATR,SMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_007_qz7avJJvnyI_lance_breitstein_deep_work_playbook.md,QuantLens Transcript Intake Report — 007,https://youtu.be/qz7avJJvnyI?si=2SrYXTRZGFXKyX3p,qz7avJJvnyI,VALID_INTAKE_REPORT,intake markers present,14769,,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QL_INTAKE_008_UD7gipBWnuY_market_wizards_sell_rules.md,QuantLens Transcript Intake Report — 008,https://www.youtube.com/watch?v=UD7gipBWnuY,UD7gipBWnuY,VALID_INTAKE_REPORT,intake markers present,26467,"ATR,EMA,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Critical Review,https://youtu.be/Yb5lMegA5Hs?si=_zP9cjzTaZN8vh4w,Yb5lMegA5Hs,VALID_INTAKE_REPORT,intake markers present,15559,"ATR,AVWAP,EMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Critical Review,https://youtu.be/RHlsVNSM8Aw?si=g54Kry_ryc8pYWPK,RHlsVNSM8Aw,VALID_INTAKE_REPORT,intake markers present,10335,"ATR,EMA,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Martin Luke Pullback / Anchored VWAP System,https://youtu.be/VKNEJA5r8zw?si=XIbuUbrJNtP5wjop,VKNEJA5r8zw,VALID_INTAKE_REPORT,intake markers present,18237,"EMA,VWAP,ema",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,QUANTLENS TRANSCRIPT INTAKE REPORT — Ty Rajnus Short-Only System,https://youtu.be/bRXO6F_vGjM?si=N4P30T_3_i-IHPP4,bRXO6F_vGjM,VALID_INTAKE_REPORT,intake markers present,23856,"EMA,VWAP",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_DLlNDuOTUfQ_Intake_Report_2026-05-03.md,YouTube Strategy Transcript Intake Report,https://youtu.be/DLlNDuOTUfQ?si=_eUc_moFLJqb-qm-`,DLlNDuOTUfQ,VALID_INTAKE_REPORT,intake markers present,19182,"ATR,SMA,sma",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_Eb9FkLNJLzs_Intake_Report_2026-05-03.md,YouTube Strategy Intake Report — Eb9FkLNJLzs,https://youtu.be/Eb9FkLNJLzs?si=0aQgV5pBPJoFFund,Eb9FkLNJLzs,VALID_INTAKE_REPORT,intake markers present,19285,"ATR,AVWAP,EMA",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_Jew-Algmi0k_Intake_Report_2026-05-03.md,YouTube Strategy Transcript Intake Report,https://youtu.be/Jew-Algmi0k?si=HtYuBVZg6mN58Qt-`,Jew-Algmi0k,VALID_INTAKE_REPORT,intake markers present,23779,"ATR,AVWAP,SMA,VWAP,avwap",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_m8F3KkBDtC0_Intake_Report_2026-05-03.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=m8F3KkBDtC0,m8F3KkBDtC0,VALID_INTAKE_REPORT,intake markers present,17877,EMA,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_oPeTkxTnooA_Intake_Report_2026-05-03.md,YouTube Strategy Intake Report — oPeTkxTnooA,https://youtu.be/oPeTkxTnooA?si=ZqwmMZiavzd-9h51,oPeTkxTnooA,VALID_INTAKE_REPORT,intake markers present,19879,"EMA,atr",True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_q43pkYBo1hU_Intake_Report_2026-05-03.md,YouTube Strategy Transcript Intake Report,https://youtu.be/q43pkYBo1hU?si=JM_zb7YAWo5N2rls`,q43pkYBo1hU,VALID_INTAKE_REPORT,intake markers present,17300,ATR,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_q4TuaY-ccqA_Intake_Report_2026-05-03.md,YouTube Strategy Intake Report — q4TuaY-ccqA,https://www.youtube.com/watch?v=q4TuaY-ccqA,q4TuaY-ccqA,VALID_INTAKE_REPORT,intake markers present,9490,,True,True
06_QUANTLENS_LAB\00_INBOX_REPORTS\3 Mayıs\YT_UtNrp_Uz9Oc_Intake_Report_2026-05-03.md,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=UtNrp_Uz9Oc,UtNrp_Uz9Oc,VALID_INTAKE_REPORT,intake markers present,10051,,True,True
