source,asset,timeframe,path,bar_count,first_ts,last_ts,quality_status
bundle,TRXUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\TRXUSDT\1D\BINANCE_FUTURES_TRXUSDT_1D_20200115_20260427.csv,2295,2020-01-15T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,XRPUSDT,1D,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\XRPUSDT\1D\BINANCE_FUTURES_XRPUSDT_1D_20200106_20260427.csv,2304,2020-01-06T00:00:00+00:00,2026-04-27T00:00:00+00:00,AVAILABLE
bundle,ADAUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ADAUSDT\4h\BINANCE_FUTURES_ADAUSDT_4h_20200131_20260427.csv,13670,2020-01-31T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,APTUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\APTUSDT\4h\BINANCE_FUTURES_APTUSDT_4h_20221019_20260427.csv,7720,2022-10-19T00:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,ARBUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ARBUSDT\4h\BINANCE_FUTURES_ARBUSDT_4h_20230323_20260427.csv,6787,2023-03-23T12:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,AVAXUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\AVAXUSDT\4h\BINANCE_FUTURES_AVAXUSDT_4h_20200923_20260427.csv,12255,2020-09-23T04:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,BNBUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BNBUSDT\4h\BINANCE_FUTURES_BNBUSDT_4h_20200210_20260427.csv,13610,2020-02-10T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,BTCUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BTCUSDT\4h\BINANCE_FUTURES_BTCUSDT_4h_20190908_20260413.csv,14454,2019-09-08T16:00:00+00:00,2026-04-13T12:00:00+00:00,AVAILABLE
bundle,DOGEUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOGEUSDT\4h\BINANCE_FUTURES_DOGEUSDT_4h_20200710_20260427.csv,12704,2020-07-10T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,DOTUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOTUSDT\4h\BINANCE_FUTURES_DOTUSDT_4h_20200822_20260427.csv,12447,2020-08-22T04:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,ETHUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ETHUSDT\4h\BINANCE_FUTURES_ETHUSDT_4h_20191127_20260427.csv,14061,2019-11-27T04:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,LINKUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LINKUSDT\4h\BINANCE_FUTURES_LINKUSDT_4h_20200117_20260427.csv,13754,2020-01-17T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,LTCUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LTCUSDT\4h\BINANCE_FUTURES_LTCUSDT_4h_20200109_20260427.csv,13802,2020-01-09T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,NEARUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\NEARUSDT\4h\BINANCE_FUTURES_NEARUSDT_4h_20201015_20260427.csv,12122,2020-10-15T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,OPUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\OPUSDT\4h\BINANCE_FUTURES_OPUSDT_4h_20220601_20260427.csv,8557,2022-06-01T12:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,POLUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\POLUSDT\4h\BINANCE_FUTURES_POLUSDT_4h_20240913_20260427.csv,3547,2024-09-13T12:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,SOLUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\SOLUSDT\4h\BINANCE_FUTURES_SOLUSDT_4h_20200914_20260427.csv,12309,2020-09-14T04:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,TRXUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\TRXUSDT\4h\BINANCE_FUTURES_TRXUSDT_4h_20200115_20260427.csv,13766,2020-01-15T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,XRPUSDT,4h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\XRPUSDT\4h\BINANCE_FUTURES_XRPUSDT_4h_20200106_20260427.csv,13820,2020-01-06T08:00:00+00:00,2026-04-27T12:00:00+00:00,AVAILABLE
bundle,ADAUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ADAUSDT\1h\BINANCE_FUTURES_ADAUSDT_1h_20200131_20260427.csv,54680,2020-01-31T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,APTUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\APTUSDT\1h\BINANCE_FUTURES_APTUSDT_1h_20221019_20260427.csv,30878,2022-10-19T02:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,ARBUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ARBUSDT\1h\BINANCE_FUTURES_ARBUSDT_1h_20230323_20260427.csv,27145,2023-03-23T15:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,AVAXUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\AVAXUSDT\1h\BINANCE_FUTURES_AVAXUSDT_1h_20200923_20260427.csv,49017,2020-09-23T07:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,BNBUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BNBUSDT\1h\BINANCE_FUTURES_BNBUSDT_1h_20200210_20260427.csv,54440,2020-02-10T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,BTCUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BTCUSDT\1h\BINANCE_FUTURES_BTCUSDT_1h_20230528_20260315.csv,24525,2023-05-28T23:00:00+00:00,2026-03-15T19:00:00+00:00,AVAILABLE
bundle,DOGEUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOGEUSDT\1h\BINANCE_FUTURES_DOGEUSDT_1h_20200710_20260427.csv,50815,2020-07-10T09:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,DOTUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOTUSDT\1h\BINANCE_FUTURES_DOTUSDT_1h_20200822_20260427.csv,49785,2020-08-22T07:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,ETHUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ETHUSDT\1h\BINANCE_FUTURES_ETHUSDT_1h_20191127_20260427.csv,56241,2019-11-27T07:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,LINKUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LINKUSDT\1h\BINANCE_FUTURES_LINKUSDT_1h_20200117_20260427.csv,55016,2020-01-17T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,LTCUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LTCUSDT\1h\BINANCE_FUTURES_LTCUSDT_1h_20200109_20260427.csv,55208,2020-01-09T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,NEARUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\NEARUSDT\1h\BINANCE_FUTURES_NEARUSDT_1h_20201015_20260427.csv,48488,2020-10-15T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,OPUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\OPUSDT\1h\BINANCE_FUTURES_OPUSDT_1h_20220601_20260427.csv,34226,2022-06-01T14:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,POLUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\POLUSDT\1h\BINANCE_FUTURES_POLUSDT_1h_20240913_20260427.csv,14188,2024-09-13T12:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,SOLUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\SOLUSDT\1h\BINANCE_FUTURES_SOLUSDT_1h_20200914_20260427.csv,49233,2020-09-14T07:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,TRXUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\TRXUSDT\1h\BINANCE_FUTURES_TRXUSDT_1h_20200115_20260427.csv,55064,2020-01-15T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,XRPUSDT,1h,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\XRPUSDT\1h\BINANCE_FUTURES_XRPUSDT_1h_20200106_20260427.csv,55280,2020-01-06T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,ADAUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ADAUSDT\15m\BINANCE_FUTURES_ADAUSDT_15m_20200131_20260427.csv,218717,2020-01-31T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,APTUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\APTUSDT\15m\BINANCE_FUTURES_APTUSDT_15m_20221019_20260427.csv,123512,2022-10-19T02:00:00+00:00,2026-04-27T15:45:00+00:00,AVAILABLE
bundle,ARBUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ARBUSDT\15m\BINANCE_FUTURES_ARBUSDT_15m_20230323_20260427.csv,108577,2023-03-23T15:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,AVAXUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\AVAXUSDT\15m\BINANCE_FUTURES_AVAXUSDT_15m_20200923_20260427.csv,196065,2020-09-23T07:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,BNBUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BNBUSDT\15m\BINANCE_FUTURES_BNBUSDT_15m_20200210_20260427.csv,217757,2020-02-10T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,BTCUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\BTCUSDT\15m\BINANCE_FUTURES_BTCUSDT_15m_20250901_20260427.csv,22880,2025-09-01T00:00:00+00:00,2026-04-27T07:45:00+00:00,AVAILABLE
bundle,DOGEUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOGEUSDT\15m\BINANCE_FUTURES_DOGEUSDT_15m_20200710_20260427.csv,203257,2020-07-10T09:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,DOTUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\DOTUSDT\15m\BINANCE_FUTURES_DOTUSDT_15m_20200822_20260427.csv,199137,2020-08-22T07:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,ETHUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\ETHUSDT\15m\BINANCE_FUTURES_ETHUSDT_15m_20191127_20260427.csv,224961,2019-11-27T07:45:00+00:00,2026-04-27T15:45:00+00:00,AVAILABLE
bundle,LINKUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LINKUSDT\15m\BINANCE_FUTURES_LINKUSDT_15m_20200117_20260427.csv,220061,2020-01-17T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,LTCUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\LTCUSDT\15m\BINANCE_FUTURES_LTCUSDT_15m_20200109_20260427.csv,220832,2020-01-09T08:00:00+00:00,2026-04-27T15:45:00+00:00,AVAILABLE
bundle,NEARUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\NEARUSDT\15m\BINANCE_FUTURES_NEARUSDT_15m_20201015_20260427.csv,193949,2020-10-15T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,OPUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\OPUSDT\15m\BINANCE_FUTURES_OPUSDT_15m_20220601_20260427.csv,136901,2022-06-01T14:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,POLUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\POLUSDT\15m\BINANCE_FUTURES_POLUSDT_15m_20240913_20260427.csv,56748,2024-09-13T12:15:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,SOLUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\SOLUSDT\15m\BINANCE_FUTURES_SOLUSDT_15m_20200914_20260427.csv,196929,2020-09-14T07:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,TRXUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\TRXUSDT\15m\BINANCE_FUTURES_TRXUSDT_15m_20200115_20260427.csv,220253,2020-01-15T08:00:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
bundle,XRPUSDT,15m,MTC_V2_OPTIMIZATION_DATA_BUNDLE_20260427\normalized\binance_futures\XRPUSDT\15m\BINANCE_FUTURES_XRPUSDT_15m_20200106_20260427.csv,221116,2020-01-06T08:15:00+00:00,2026-04-27T15:00:00+00:00,AVAILABLE
research_5m,ADAUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\ADAUSDT\5m\BINANCE_FUTURES_ADAUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,APTUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\APTUSDT\5m\BINANCE_FUTURES_APTUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,ARBUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\ARBUSDT\5m\BINANCE_FUTURES_ARBUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,AVAXUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\AVAXUSDT\5m\BINANCE_FUTURES_AVAXUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,BNBUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\BNBUSDT\5m\BINANCE_FUTURES_BNBUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,BTCUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\BTCUSDT\5m\BINANCE_FUTURES_BTCUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,DOGEUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\DOGEUSDT\5m\BINANCE_FUTURES_DOGEUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,DOTUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\DOTUSDT\5m\BINANCE_FUTURES_DOTUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,ETHUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\ETHUSDT\5m\BINANCE_FUTURES_ETHUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,LINKUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\LINKUSDT\5m\BINANCE_FUTURES_LINKUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,LTCUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\LTCUSDT\5m\BINANCE_FUTURES_LTCUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,NEARUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\NEARUSDT\5m\BINANCE_FUTURES_NEARUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,OPUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\OPUSDT\5m\BINANCE_FUTURES_OPUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,POLUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\POLUSDT\5m\BINANCE_FUTURES_POLUSDT_5m_20240101_RESEARCH.csv,171998,2024-09-13T12:15:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,SOLUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\SOLUSDT\5m\BINANCE_FUTURES_SOLUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,TRXUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\TRXUSDT\5m\BINANCE_FUTURES_TRXUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
research_5m,XRPUSDT,5m,06_QUANTLENS_LAB\research\data_acquisition_5m_2026_05_03\normalized\binance_futures\XRPUSDT\5m\BINANCE_FUTURES_XRPUSDT_5m_20240101_RESEARCH.csv,245873,2024-01-01T00:00:00+00:00,2026-05-03T17:20:00+00:00,AVAILABLE
