case_id,reason,duplicate_of
parity_bnd_012_time_stop_12,duplicate_canonical_config_hash,parity_core_028_time_stop_enabled_bars_1
parity_bnd_019_supertrend_07,duplicate_canonical_config_hash,parity_bnd_013_supertrend_01
parity_bnd_020_supertrend_08,duplicate_canonical_config_hash,parity_bnd_014_supertrend_02
parity_bnd_021_supertrend_09,duplicate_canonical_config_hash,parity_bnd_015_supertrend_03
parity_bnd_022_supertrend_10,duplicate_canonical_config_hash,parity_bnd_016_supertrend_04
parity_bnd_023_supertrend_11,duplicate_canonical_config_hash,parity_bnd_017_supertrend_05
parity_bnd_024_supertrend_12,duplicate_canonical_config_hash,parity_bnd_018_supertrend_06
parity_bnd_034_sl_atr_10,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_041_tp_atr_01,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_042_tp_atr_02,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_043_tp_atr_03,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_044_tp_atr_04,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_045_tp_atr_05,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_046_tp_atr_06,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_047_tp_atr_07,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_048_tp_atr_08,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_049_tp_atr_09,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_050_tp_atr_10,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_051_tp_atr_11,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_052_tp_atr_12,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_053_tp_atr_13,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_054_tp_atr_14,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_055_tp_atr_15,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_056_tp_atr_16,duplicate_canonical_config_hash,parity_core_001_baseline_touch
parity_bnd_062_multi_tp_06,duplicate_canonical_config_hash,parity_bnd_057_multi_tp_01
parity_bnd_063_multi_tp_07,duplicate_canonical_config_hash,parity_bnd_058_multi_tp_02
parity_bnd_064_multi_tp_08,duplicate_canonical_config_hash,parity_bnd_059_multi_tp_03
parity_bnd_065_multi_tp_09,duplicate_canonical_config_hash,parity_bnd_060_multi_tp_04
parity_bnd_066_multi_tp_10,duplicate_canonical_config_hash,parity_bnd_061_multi_tp_05
parity_bnd_067_multi_tp_11,duplicate_canonical_config_hash,parity_bnd_057_multi_tp_01
parity_bnd_068_multi_tp_12,duplicate_canonical_config_hash,parity_bnd_058_multi_tp_02
parity_bnd_069_multi_tp_13,duplicate_canonical_config_hash,parity_bnd_059_multi_tp_03
parity_bnd_070_multi_tp_14,duplicate_canonical_config_hash,parity_bnd_060_multi_tp_04
parity_bnd_071_multi_tp_15,duplicate_canonical_config_hash,parity_bnd_061_multi_tp_05
parity_bnd_072_multi_tp_16,duplicate_canonical_config_hash,parity_bnd_057_multi_tp_01
parity_bnd_077_be_trail_05,duplicate_canonical_config_hash,parity_bnd_073_be_trail_01
parity_bnd_078_be_trail_06,duplicate_canonical_config_hash,parity_bnd_074_be_trail_02
parity_bnd_079_be_trail_07,duplicate_canonical_config_hash,parity_bnd_075_be_trail_03
parity_bnd_080_be_trail_08,duplicate_canonical_config_hash,parity_bnd_076_be_trail_04
parity_bnd_081_be_trail_09,duplicate_canonical_config_hash,parity_bnd_073_be_trail_01
parity_bnd_082_be_trail_10,duplicate_canonical_config_hash,parity_bnd_074_be_trail_02
parity_bnd_083_be_trail_11,duplicate_canonical_config_hash,parity_bnd_075_be_trail_03
parity_bnd_084_be_trail_12,duplicate_canonical_config_hash,parity_bnd_076_be_trail_04
