run_order,pack,case_id,case_json,tv_preset_name,enabled,expected_trade_behavior,primary_change,ui_actions,depends_on,parent_required,canonical_config_hash,semantic_fingerprint,symbol,timeframe,start_date,end_date,notes
1,core,parity_core_001_baseline_touch,cases_fixed/parity_core_001_baseline_touch.json,parity_core_001_baseline_touch,1,NORMAL,baseline touch,Apply only this case change in TV UI: baseline touch,,,bc83dc63c12bef58ed05cb46f4d6ec35fd3a5665eab4b27e964d2446cc359df2,core:baseline touch:b280123b10ead4bd,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
12,core,parity_core_026_exit_filter_atr_vol_block_on,cases_fixed/parity_core_026_exit_filter_atr_vol_block_on.json,parity_core_026_exit_filter_atr_vol_block_on,1,NORMAL,exit filter atr vol block on,Apply only this case change in TV UI: exit filter atr vol block on,,,fcb4298674c8ffcba4855453d5da20cb6cece06de71d890129f4d3390247c189,core:exit filter atr vol block on:90273992ca5abc3a,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
13,core,parity_core_027_exit_filter_range_block_on,cases_fixed/parity_core_027_exit_filter_range_block_on.json,parity_core_027_exit_filter_range_block_on,1,NORMAL,exit filter range block on,Apply only this case change in TV UI: exit filter range block on,,,59901efd7a029256dec94aa3f525ceb592b33e86d71494dcc503853be0ef682e,core:exit filter range block on:63b2e8dcfcbc997e,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
14,core,parity_core_028_time_stop_enabled_bars_1,cases_fixed/parity_core_028_time_stop_enabled_bars_1.json,parity_core_028_time_stop_enabled_bars_1,1,NORMAL,time stop enabled bars 1,Apply only this case change in TV UI: time stop enabled bars 1,,,7aa6a5c2a2b8ee7f4fb205232da478cb37dc9c61d3ffc9d2840f1d0394beeb5d,core:time stop enabled bars 1:aeebca41e3fa1123,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
15,core,parity_core_030_time_stop_condition_profit_only,cases_fixed/parity_core_030_time_stop_condition_profit_only.json,parity_core_030_time_stop_condition_profit_only,1,NORMAL,time stop condition profit only,Apply only this case change in TV UI: time stop condition profit only,,,b35dc1b8ef90e4ac5574948d1f4ce7a27a79655209876e4bf9a82705b178a7ee,core:time stop condition profit only:fb2557c13e887341,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
16,core,parity_core_032_time_stop_eod_on,cases_fixed/parity_core_032_time_stop_eod_on.json,parity_core_032_time_stop_eod_on,1,NORMAL,time stop eod on,Apply only this case change in TV UI: time stop eod on,,,d4fabd2c76ddc4f5b08076ec4b24339f9585264a38a848b32075dae4a0d4c1bd,core:time stop eod on:7399ffee36760a07,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
17,core,parity_core_033_time_stop_eow_on,cases_fixed/parity_core_033_time_stop_eow_on.json,parity_core_033_time_stop_eow_on,1,NORMAL,time stop eow on,Apply only this case change in TV UI: time stop eow on,,,9565e98d8127c3b65b8830952a4dfacdeb9b2f694218a9b1f5ebbbc44d7b0d50,core:time stop eow on:a785fdee2b3657a3,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
18,core,parity_core_059_guard_cooldown_on,cases_fixed/parity_core_059_guard_cooldown_on.json,parity_core_059_guard_cooldown_on,1,NORMAL,guard cooldown on,Apply only this case change in TV UI: guard cooldown on,,,beed007402108d33c2b3caa5776eefee532bc0777f84ace035cdcb387ef3b9d2,core:guard cooldown on:0b2e53fdcc4ab986,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
19,core,parity_core_060_guard_eq_curve_on,cases_fixed/parity_core_060_guard_eq_curve_on.json,parity_core_060_guard_eq_curve_on,1,NORMAL,guard eq curve on,Apply only this case change in TV UI: guard eq curve on,,,51e2ade418e83ce8e7888ba074481fc97f8d47b31a7376ac3bb3b4292ea023db,core:guard eq curve on:da5f222a37c0a026,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
20,core,parity_core_061_guard_mae_on,cases_fixed/parity_core_061_guard_mae_on.json,parity_core_061_guard_mae_on,1,NORMAL,guard mae on,Apply only this case change in TV UI: guard mae on,,,50eadcac08d89e37ffe9672087799a2a6dc3c1144cb49f5d8ea353e8109ffeb3,core:guard mae on:125afab96fd1c9f7,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
21,core,parity_core_062_guard_recovery_bars,cases_fixed/parity_core_062_guard_recovery_bars.json,parity_core_062_guard_recovery_bars,1,NORMAL,guard recovery bars,Apply only this case change in TV UI: guard recovery bars,,,5b32bed0c6777ce3722275648382ab46d9bc508d96a331b94faa2f06545b44ac,core:guard recovery bars:d02ead86b330ac22,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
22,core,parity_core_063_guard_recovery_signals,cases_fixed/parity_core_063_guard_recovery_signals.json,parity_core_063_guard_recovery_signals,1,NORMAL,guard recovery signals,Apply only this case change in TV UI: guard recovery signals,,,b5e4b7a64ce503a60535e282ab5ddfe99bc306e7bfb9a5b3d7d8adebacd2ff9b,core:guard recovery signals:63c6ecbca5c5d455,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
23,core,parity_core_064_guard_recovery_virtual_trade,cases_fixed/parity_core_064_guard_recovery_virtual_trade.json,parity_core_064_guard_recovery_virtual_trade,1,NORMAL,guard recovery virtual trade,Apply only this case change in TV UI: guard recovery virtual trade,,,64112b50e881ac18f4de2dac8430874101058724791b868b9b39e19c18d6261a,core:guard recovery virtual trade:dc68b566cf1089f3,,,2025-06-30T05:15:00,2026-02-01,bootstrapped_from_parity_suite_340 | optimized_ui_coverage | dependency_fixes_applied
