rel_path,classification,video_id,title,url,is_duplicate_of,size_bytes
3 Mayıs/2026-05-03_MnXQOt7_ZP0_quantlens_jim_roppel_ai_bull_market_intake_report.md,VALID_INTAKE_REPORT,MnXQOt7_ZP0,QUANTLENS TRANSCRIPT INTAKE REPORT — Jim Roppel AI Bull Market / Position Trading Framework,https://youtu.be/MnXQOt7_ZP0?si=OdvX4hI-qnjYMKZp,,21188
3 Mayıs/2026-05-03_Ne3X-l6W4CQ_quantlens_process_strategy_intake.md,VALID_INTAKE_REPORT,Ne3X-l6W4CQ,QUANTLENS TRANSCRIPT INTAKE REPORT — Ne3X-l6W4CQ,https://youtu.be/Ne3X-l6W4CQ?si=s2DVjxj3f45iUfgx,,19091
3 Mayıs/2026-05-03_NGyE4YIgGpU_quantlens_tito_adhikary_options_momentum_intake_report.md,VALID_INTAKE_REPORT,NGyE4YIgGpU,QuantLens Intake Report — Tito Adhikary / Options Momentum Breakout,"https://youtu.be/NGyE4YIgGpU?si=gj_6ZcIyjUFAEGhk""",,20360
3 Mayıs/2026-05-03_O0GpSPtmCuM_quantlens_stan_weinstein_stage_analysis_intake.md,VALID_INTAKE_REPORT,O0GpSPtmCuM,QUANTLENS TRANSCRIPT INTAKE REPORT — Stan Weinstein Stage Analysis / Current Market Warnings,https://youtu.be/O0GpSPtmCuM?si=Ra7X5w149KdMksmj,,22309
3 Mayıs/2026-05-03_Tm0dkf8_giA_quantlens_vcp_breakout_intake_report.md,VALID_INTAKE_REPORT,Tm0dkf8_giA,QUANTLENS TRANSCRIPT INTAKE REPORT — VCP Breakout / Volatility Contraction Pattern,https://youtu.be/Tm0dkf8_giA?si=KeJv1-D-_CbJU-FK,,14315
3 Mayıs/2026-05-03_UmLa9FAlMgw_quantlens_brian_shannon_avwap_intake.md,VALID_INTAKE_REPORT,UmLa9FAlMgw,QUANTLENS TRANSCRIPT INTAKE REPORT — Brian Shannon / AVWAP Trading Indicator Secrets and Setups,https://youtu.be/UmLa9FAlMgw?si=bqyEc59JFMCVzcGH,,22777
3 Mayıs/2026-05-03_XNZ4f-b3ED8_quantlens_intake_indicator_audit.md,VALID_INTAKE_REPORT,XNZ4f-b3ED8,QUANTLENS TRANSCRIPT INTAKE REPORT — XNZ4f-b3ED8,https://youtu.be/XNZ4f-b3ED8?si=SEFGjG-VyI49JxU-,,19737
3 Mayıs/INTAKE_001_Lot25-2fb-4_433_return_poker_player_full_time_trader.md,VALID_INTAKE_REPORT,Lot25-2fb-4,QuantLens Transcript Intake Report — 001 / 068,https://youtu.be/Lot25-2fb-4?si=YHKVb3kJfybusO5o`,,15937
3 Mayıs/INTAKE_002_oZH6_XRxtDc_pro_swing_trading_entry_tactics_ep3.md,VALID_INTAKE_REPORT,oZH6_XRxtDc,QuantLens Transcript Intake Report — 002 / 068,https://youtu.be/oZH6_XRxtDc?si=ar7mxK0F7O5fbnBZ`,,24731
3 Mayıs/INTAKE_003_NwgJQyoUAaI_pro_swing_trading_setups_ep2.md,VALID_INTAKE_REPORT,NwgJQyoUAaI,QuantLens Transcript Intake Report — 003 / 068,https://youtu.be/NwgJQyoUAaI?si=IuOBlOwf_231Oftz`,,21068
3 Mayıs/INTAKE_004_M_tD6X0CSOI_the_perfect_vcp_trading_setup_mark_minervini.md,VALID_INTAKE_REPORT,M_tD6X0CSOI,QuantLens Transcript Intake Report — 004 / 068,https://youtu.be/M_tD6X0CSOI?si=7w03YALv0bHJJJUE`,,24599
3 Mayıs/INTAKE_005_jD4nynuWfEU_raschke_relative_strength_janus_factor.md,VALID_INTAKE_REPORT,jD4nynuWfEU,QuantLens Transcript Intake Report — 005 / 068,https://www.youtube.com/watch?v=jD4nynuWfEU`,,28847
3 Mayıs/INTAKE_006_HAN1kymVbTc_ted_zhang_momentum_portfolio_manager.md,VALID_INTAKE_REPORT,HAN1kymVbTc,QuantLens Transcript Intake Report — 006 / 068,https://youtu.be/HAN1kymVbTc?si=phH70Py9VkhrRlBA`,,30966
3 Mayıs/INTAKE_2026-05-03_2f5VfmlU90U_charles_harris_trading_psychology.md,VALID_INTAKE_REPORT,2f5VfmlU90U,QuantLens Transcript Intake Report — The Mind of a Trader / Charles Harris,https://youtu.be/2f5VfmlU90U?si=pNdZdVgF6KhoXP-v`,,22987
3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,VALID_INTAKE_REPORT,4-IjRmw7SZI,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=4-IjRmw7SZI,,18798
3 Mayıs/INTAKE_2026-05-03_6aOnCK1gv2w_chris_flanders_edge.md,VALID_INTAKE_REPORT,6aOnCK1gv2w,QuantLens Transcript Intake Report — 6aOnCK1gv2w,https://www.youtube.com/watch?v=6aOnCK1gv2w,,17925
3 Mayıs/INTAKE_2026-05-03_6tnREqUJ1WY_trading_backtests_misleading.md,DUPLICATE_STRATEGY,6tnREqUJ1WY,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=6tnREqUJ1WY,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,19845
3 Mayıs/INTAKE_2026-05-03__AAX1ylNbIE_market_wizards_lessons.md,DUPLICATE_STRATEGY,_AAX1ylNbIE,QuantLens Transcript Intake Report,https://youtu.be/_AAX1ylNbIE?si=GS5jQ8yvhFsDIQd1`,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,15124
3 Mayıs/INTAKE_2026-05-03_a4uJ3rHhbfA_anish_sikri_position_sizing.md,VALID_INTAKE_REPORT,a4uJ3rHhbfA,QuantLens Transcript Intake Report — Anish Sikri / The Art of Position Sizing,https://youtu.be/a4uJ3rHhbfA?si=hD9z9rji3O6XbMnj,,21529
3 Mayıs/INTAKE_2026-05-03_aDRYV4mjlHA_vibha_jha_tqqq_swing_strategy.md,VALID_INTAKE_REPORT,aDRYV4mjlHA,QuantLens Transcript Intake Report — The Million Dollar TQQQ Swing Trading Strategy / Vibha Jha,https://youtu.be/aDRYV4mjlHA?si=3rtey_IW5W7-U_XR`,,24423
3 Mayıs/INTAKE_2026-05-03_C9Pvd9UD0jM_mark_minervini_progressive_exposure.md,DUPLICATE_STRATEGY,C9Pvd9UD0jM,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=C9Pvd9UD0jM,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,16215
3 Mayıs/INTAKE_2026-05-03_CtioOmc1Eig_charles_harris_trade_like_professional.md,VALID_INTAKE_REPORT,CtioOmc1Eig,QuantLens Transcript Intake Report — Trade Like a Professional / Charles Harris,https://youtu.be/CtioOmc1Eig?si=ISO4HKuamRbbh4ns`,,20009
3 Mayıs/INTAKE_2026-05-03_DPA35Gug3Y4_brian_lee_smallcap_mean_reversion_progressive_exposure.md,DUPLICATE_STRATEGY,DPA35Gug3Y4,QuantLens Transcript Intake Report,https://youtu.be/DPA35Gug3Y4?si=tgHSwpjijUJECVZU`,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,22541
3 Mayıs/INTAKE_2026-05-03_ElocJ-b_NTs_oliver_kell_10_principles.md,VALID_INTAKE_REPORT,ElocJ-b_NTs,QuantLens Transcript Intake Report — Oliver Kell / 10 Principles of Trading,https://youtu.be/ElocJ-b_NTs?si=5HoHV7QnhLAqXNM1,,16051
3 Mayıs/INTAKE_2026-05-03_eWtY7uoJL_0_david_ryan_price_volume_discipline.md,VALID_INTAKE_REPORT,eWtY7uoJL_0,"QuantLens Transcript Intake Report — David Ryan / Price-Volume, CANSLIM Precedent & Trading Discipline",https://youtu.be/eWtY7uoJL_0?si=9_3CvT5T5e5HyILo,,21128
3 Mayıs/INTAKE_2026-05-03_FiUGDA7eMyU_canslim_ross_haber.md,DUPLICATE_STRATEGY,FiUGDA7eMyU,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=FiUGDA7eMyU,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,17767
3 Mayıs/INTAKE_2026-05-03_FtAshnE3MwM_stan_weinstein_stage_analysis.md,DUPLICATE_STRATEGY,FtAshnE3MwM,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=FtAshnE3MwM,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,19486
3 Mayıs/INTAKE_2026-05-03_GHZBv1W4-II_larry_williams.md,VALID_INTAKE_REPORT,GHZBv1W4-II,QuantLens Transcript Intake Report — GHZBv1W4-II,https://youtu.be/GHZBv1W4-II?si=de5dq3ybVKbtFD-b,,19256
3 Mayıs/INTAKE_2026-05-03_jLioqyVlRkE_jim_roppel_200m_hedge_fund.md,VALID_INTAKE_REPORT,jLioqyVlRkE,QuantLens Transcript Intake Report — From Blowing Up 3 Times to Managing a $200 Million Hedge Fund,https://youtu.be/jLioqyVlRkE?si=HMyJ3lenMmbzZ0Tz`,,27644
3 Mayıs/INTAKE_2026-05-03_kao-hhaQnig_andrew_connell_event_driven_value_area.md,DUPLICATE_STRATEGY,kao-hhaQnig,QuantLens Transcript Intake Report,https://youtu.be/kao-hhaQnig?si=51-SAFaUAH9-AE6y`,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,17705
3 Mayıs/INTAKE_2026-05-03_lpjTNygfnzM_deepak_swing_trading_triple_digit_returns.md,DUPLICATE_STRATEGY,lpjTNygfnzM,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=lpjTNygfnzM,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,19113
3 Mayıs/INTAKE_2026-05-03_lS9zbnLi1Gg_martin_luke_283_gain_swing_trader.md,VALID_INTAKE_REPORT,lS9zbnLi1Gg,QuantLens Transcript Intake Report — 283% Gain in 1 Year: The Story of the 22-Year-Old Swing Trader,https://youtu.be/lS9zbnLi1Gg?si=vmGqb0X_iM3tCvw9`,,27127
3 Mayıs/INTAKE_2026-05-03_lTiR1pc82EE_market_wizards_setups.md,DUPLICATE_STRATEGY,lTiR1pc82EE,QuantLens Transcript Intake Report,https://youtu.be/lTiR1pc82EE?si=mvvql0aCc1yj_UO0,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,14188
3 Mayıs/INTAKE_2026-05-03_QzzKqmPcB3A_ultimate_trading_guide_ep.md,VALID_INTAKE_REPORT,QzzKqmPcB3A,QuantLens Transcript Intake Report — 7 Steps to Beat the Market - Ultimate Trading Guide Ep,https://youtu.be/QzzKqmPcB3A?si=gJB9Tj18DU75ZM8Y`,,16431
3 Mayıs/INTAKE_2026-05-03_R1sNTB2Vh7w_peter_brandt_48_years_trading_lessons.md,VALID_INTAKE_REPORT,R1sNTB2Vh7w,QuantLens Transcript Intake Report — 48 Years of Trading Lessons with Market Wizard Peter Brandt,https://youtu.be/R1sNTB2Vh7w?si=XnkewkLqMeGAOqVg`,,21317
3 Mayıs/INTAKE_2026-05-03_R215f4fj7V8_lance_breitstein_trend_trading.md,VALID_INTAKE_REPORT,R215f4fj7V8,"QuantLens Transcript Intake Report — Lance Breitstein / Trend Trading, Right-Side-of-V & Catalyst Momentum",https://youtu.be/R215f4fj7V8?si=L3wGYRC2vMT5Bjb_,,21757
3 Mayıs/INTAKE_2026-05-03_rdmjsbDVuoU_high_tight_flag_leif_soreide.md,VALID_INTAKE_REPORT,rdmjsbDVuoU,QuantLens Transcript Intake Report — rdmjsbDVuoU,https://youtu.be/rdmjsbDVuoU?si=8qhVw_nmLLRHolwf`,,8004
3 Mayıs/INTAKE_2026-05-03_RTHRh_GLwH8_mark_ritchie_low_risk_breakout_pyramid.md,DUPLICATE_STRATEGY,RTHRh_GLwH8,QuantLens Transcript Intake Report,https://youtu.be/RTHRh_GLwH8?si=NyxT_vvKDrHwMv64,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,14025
3 Mayıs/INTAKE_2026-05-03_tynE-pwE-1o_pradeep_bonde_process_beats_setups_NEEDS_TRANSCRIPT.md,VALID_INTAKE_REPORT,tynE-pwE-1o,QuantLens Transcript Intake Report — Why Process Beats Setups in Trading / Pradeep Bonde,https://youtu.be/tynE-pwE-1o?si=E0Q_en-H8CP_3QEG`,,7706
3 Mayıs/INTAKE_2026-05-03_uh5bALsKkLg_mark_minervini_market_wizard.md,DUPLICATE_STRATEGY,uh5bALsKkLg,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=uh5bALsKkLg,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,17819
3 Mayıs/INTAKE_2026-05-03_UMgJ0P8fe0s_swing_vs_position_matt_petrolia.md,DUPLICATE_STRATEGY,UMgJ0P8fe0s,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=UMgJ0P8fe0s,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,11767
3 Mayıs/INTAKE_2026-05-03_zw96qkUn9_g_clement_ang_150pct_returns.md,VALID_INTAKE_REPORT,zw96qkUn9_g,QuantLens Transcript Intake Report — How Clement Ang Achieved 150%+ Returns in the US Investing Championship,https://www.youtube.com/watch?v=zw96qkUn9_g`,,20251
3 Mayıs/QL_INTAKE_001_JS4_6gv0PpI_mark_minervini_vcp.md,VALID_INTAKE_REPORT,JS4_6gv0PpI,QuantLens Transcript Intake Report — JS4_6gv0PpI,https://youtu.be/JS4_6gv0PpI?si=GdGc-i9bA1G9F8BS`,,12825
3 Mayıs/QL_INTAKE_002_XOul_ECgHyA_sean_ryan_swing_system.md,VALID_INTAKE_REPORT,XOul-ECgHyA,QuantLens Transcript Intake Report — 002,https://youtu.be/XOul-ECgHyA?si=lGRJSk2sTxtqli3v,,22169
3 Mayıs/QL_INTAKE_003_KWxhLIOchvY_leos_aggressive_swing_tactics.md,VALID_INTAKE_REPORT,KWxhLIOchvY,QuantLens Transcript Intake Report — 003,https://youtu.be/KWxhLIOchvY?si=d0XTJw2jmEY699x-,,26080
3 Mayıs/QL_INTAKE_004_Nq_p7Bu1YT0_ariel_rs_leadergroup_swing.md,VALID_INTAKE_REPORT,Nq-p7Bu1YT0,QuantLens Transcript Intake Report — 004,https://youtu.be/Nq-p7Bu1YT0?si=jA26J6RGZtMXyY4v,,25180
3 Mayıs/QL_INTAKE_005_7UfHg8PpDZk_marios_three_setup_superperformance.md,VALID_INTAKE_REPORT,7UfHg8PpDZk,QuantLens Transcript Intake Report — 005,https://youtu.be/7UfHg8PpDZk?si=0mLL1k1aOKmlfSS4,,24145
3 Mayıs/QL_INTAKE_006_hVCcVRxaxJY_ajay_jani_sell_rules.md,VALID_INTAKE_REPORT,hVCcVRxaxJY,QuantLens Transcript Intake Report — 006,https://www.youtube.com/watch?v=hVCcVRxaxJY,,22136
3 Mayıs/QL_INTAKE_007_qz7avJJvnyI_lance_breitstein_deep_work_playbook.md,VALID_INTAKE_REPORT,qz7avJJvnyI,QuantLens Transcript Intake Report — 007,https://youtu.be/qz7avJJvnyI?si=2SrYXTRZGFXKyX3p,,14781
3 Mayıs/QL_INTAKE_008_UD7gipBWnuY_market_wizards_sell_rules.md,VALID_INTAKE_REPORT,UD7gipBWnuY,QuantLens Transcript Intake Report — 008,https://www.youtube.com/watch?v=UD7gipBWnuY,,27088
3 Mayıs/QUANTLENS_DAILY_EXTENSION_ANTI_CHASE_CRITICAL_REPORT.md,UNKNOWN,Yb5lMegA5Hs,QUANTLENS TRANSCRIPT INTAKE REPORT — Critical Review,https://youtu.be/Yb5lMegA5Hs?si=_zP9cjzTaZN8vh4w,,15988
3 Mayıs/QUANTLENS_EMA20_50_RETEST_CRITICAL_INTAKE_REPORT.md,VALID_INTAKE_REPORT,RHlsVNSM8Aw,QUANTLENS TRANSCRIPT INTAKE REPORT — Critical Review,https://youtu.be/RHlsVNSM8Aw?si=g54Kry_ryc8pYWPK,,10615
3 Mayıs/QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,VALID_INTAKE_REPORT,VKNEJA5r8zw,QUANTLENS TRANSCRIPT INTAKE REPORT — Martin Luke Pullback / Anchored VWAP System,https://youtu.be/VKNEJA5r8zw?si=XIbuUbrJNtP5wjop,,18455
3 Mayıs/QUANTLENS_TY_RAJNUS_MICROCAP_SHORT_INTAKE_REPORT.md,VALID_INTAKE_REPORT,bRXO6F_vGjM,QUANTLENS TRANSCRIPT INTAKE REPORT — Ty Rajnus Short-Only System,https://youtu.be/bRXO6F_vGjM?si=N4P30T_3_i-IHPP4,,24231
3 Mayıs/YT_DLlNDuOTUfQ_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,DLlNDuOTUfQ,YouTube Strategy Transcript Intake Report,https://youtu.be/DLlNDuOTUfQ?si=_eUc_moFLJqb-qm-`,,19296
3 Mayıs/YT_Eb9FkLNJLzs_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,Eb9FkLNJLzs,YouTube Strategy Intake Report — Eb9FkLNJLzs,https://youtu.be/Eb9FkLNJLzs?si=0aQgV5pBPJoFFund,,19472
3 Mayıs/YT_Jew-Algmi0k_Intake_Report_2026-05-03.md,DUPLICATE_STRATEGY,Jew-Algmi0k,YouTube Strategy Transcript Intake Report,https://youtu.be/Jew-Algmi0k?si=HtYuBVZg6mN58Qt-`,3 Mayıs/YT_DLlNDuOTUfQ_Intake_Report_2026-05-03.md,24064
3 Mayıs/YT_m8F3KkBDtC0_Intake_Report_2026-05-03.md,DUPLICATE_STRATEGY,m8F3KkBDtC0,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=m8F3KkBDtC0,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,17919
3 Mayıs/YT_oPeTkxTnooA_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,oPeTkxTnooA,YouTube Strategy Intake Report — oPeTkxTnooA,https://youtu.be/oPeTkxTnooA?si=ZqwmMZiavzd-9h51,,19907
3 Mayıs/YT_q43pkYBo1hU_Intake_Report_2026-05-03.md,DUPLICATE_STRATEGY,q43pkYBo1hU,YouTube Strategy Transcript Intake Report,https://youtu.be/q43pkYBo1hU?si=JM_zb7YAWo5N2rls`,3 Mayıs/YT_DLlNDuOTUfQ_Intake_Report_2026-05-03.md,17890
3 Mayıs/YT_q4TuaY-ccqA_Intake_Report_2026-05-03.md,VALID_INTAKE_REPORT,q4TuaY-ccqA,YouTube Strategy Intake Report — q4TuaY-ccqA,https://www.youtube.com/watch?v=q4TuaY-ccqA,,9494
3 Mayıs/YT_UtNrp_Uz9Oc_Intake_Report_2026-05-03.md,DUPLICATE_STRATEGY,UtNrp_Uz9Oc,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=UtNrp_Uz9Oc,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,10059
3 Mayıs/YT_VKNEJA5r8zw_Intake_Report_2026-05-03.md,DUPLICATE_VIDEO_ID,VKNEJA5r8zw,YouTube Strategy Intake Report — VKNEJA5r8zw,https://youtu.be/VKNEJA5r8zw?si=292-FpdSVMBtGpva,3 Mayıs/QUANTLENS_MARTIN_LUKE_PULLBACK_INTAKE_REPORT.md,19462
3 Mayıs/YT_ZK5cnVQ2V3Q_Intake_Report_2026-05-03.md,DUPLICATE_STRATEGY,ZK5cnVQ2V3Q,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=ZK5cnVQ2V3Q,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,14796
NEEDS_MORE_INFO_2026-05-01_only_pattern_7_years.md,UNKNOWN,,QuantLens Transcript Intake - NEEDS_MORE_INFO,,,1220
QL_2026-05-01_ANY_1H_RSI_CONFLUENCE_PLAYBOOK_intake.md,DUPLICATE_STRATEGY,,QuantLens Transcript Intake Report,,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,2405
QL_2026-05-01_ANY_BOLLINGER_BANDS_20_2_TRI_SETUP_intake.md,VALID_INTAKE_REPORT,,QuantLens Intake Report,,,1587
QL_2026-05-01_ANY_CANDLESTICK_7_PATTERN_PA_CONFLUENCE_intake.md,DUPLICATE_STRATEGY,,QuantLens Intake Report,,QL_2026-05-01_ANY_BOLLINGER_BANDS_20_2_TRI_SETUP_intake.md,1477
QL_2026-05-01_EQUILIBRIUM_MOMENTUM_SHIFT_DIVERGENCE_intake.md,DUPLICATE_STRATEGY,,QuantLens Transcript Intake Report,,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,2504
QL_2026-05-01_LIQUID_INTRADAY_VWAP_PULLBACK_REVERSAL_intake.md,DUPLICATE_STRATEGY,,QuantLens Transcript Intake Report,,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,2528
QL_2026-05-01_RANKED_FVG_IMBALANCE_ZONES_intake.md,DUPLICATE_STRATEGY,,QuantLens Transcript Intake Report,,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,2079
QL_2026-05-01_SP500_5M_TWO_CANDLE_SENTIMENT_SR_intake.md,DUPLICATE_STRATEGY,,QuantLens Intake Report,,QL_2026-05-01_ANY_BOLLINGER_BANDS_20_2_TRI_SETUP_intake.md,2379
QL_2026-05-01_SWING_1H_DUAL_RSI_60_40_PULLBACK_intake.md,DUPLICATE_STRATEGY,,QuantLens Intake Report,,QL_2026-05-01_ANY_BOLLINGER_BANDS_20_2_TRI_SETUP_intake.md,1583
QL_2026-05-01_TV_BUYSELL_INDICATOR_PACK_intake.md,DUPLICATE_STRATEGY,,QuantLens Transcript Intake Report,,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,2386
QL_2026-05-01_UNKNOWN_MULTI_EMA_CHANNEL_PULLBACK_intake.md,DUPLICATE_STRATEGY,,QuantLens Transcript Intake Report,,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,2000
QL_2026-05-01_US_EQUITIES_10M_8EMA_PULLBACK_intake.md,DUPLICATE_STRATEGY,Gr2VDAOPRoc,QuantLens Transcript Intake Report,https://youtu.be/Gr2VDAOPRoc?si=cqu6XcRmWZlekz0M,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,1576
QL_2026-05-01_US_EQUITIES_INTRADAY_8EMA_EXIT_TRAIL_intake.md,DUPLICATE_STRATEGY,rprQ4uo-mzE,QuantLens Transcript Intake Report,https://youtu.be/rprQ4uo-mzE,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,1672
QL_2026-05-01_US_EQUITIES_INTRADAY_LE_MODEL_BULL_FLAG_intake.md,DUPLICATE_STRATEGY,mMwl4xAh_NI,QuantLens Transcript Intake Report,https://youtu.be/mMwl4xAh_NI?si=uv_JmPnE2HjpDVS-,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,2072
QL_2026-05-01_US_EQUITIES_INTRADAY_PURPLE_PROFITS_intake.md,DUPLICATE_STRATEGY,wwbjYNV3vCY,QuantLens Transcript Intake Report,https://www.youtube.com/watch?v=wwbjYNV3vCY,3 Mayıs/INTAKE_2026-05-03_4-IjRmw7SZI_tqqq_key_strategies.md,1884
The ONLY Pattern I've Used for 7 Years - Nothing Else (Full Strategy).md,UNKNOWN,mMwl4xAh_NI,,https://youtu.be/mMwl4xAh_NI?si=uv_JmPnE2HjpDVS-,,21288
Transcrips/+1300% Return in 2 Years The Setups Rules Hard Won Lessons Behind Chris Flander's Edge.md,RAW_TRANSCRIPT_BY_MISTAKE,6aOnCK1gv2w,,https://youtu.be/6aOnCK1gv2w?si=ZjHNQfjB0wOfefr8,,160796
Transcrips/+222% Return in 27 Days  The High Tight Flag Trading Setup Leif Soreide.md,EMPTY_OR_CORRUPT,rdmjsbDVuoU,,https://youtu.be/rdmjsbDVuoU?si=8qhVw_nmLLRHolwf,,52
Transcrips/+259% in 1 Year - Swing Trading Performance Strategy.md,RAW_TRANSCRIPT_BY_MISTAKE,q43pkYBo1hU,,https://youtu.be/q43pkYBo1hU?si=JM_zb7YAWo5N2rls,,153990
