status	tag	target_sha	target_description
CREATED	legacy/evbr/codex--gate-a-credential-free-disarmed/2026-08-25	a0275b5ce90ea57018bdd6a699917a3222564d5b	evidence-bearing branch codex/gate-a-credential-free-disarmed; source ref refs/heads/codex/gate-a-credential-free-disarmed; tip drift since WP-P0-01: no; subject: docs(gate-a): accept Queue C repair under owner waiver
CREATED	legacy/evbr/codex--gate-a-disarmed-start-mode/2026-08-25	2ce41e34bceb599d80af24c5c33d835820ec321b	evidence-bearing branch codex/gate-a-disarmed-start-mode; source ref refs/heads/codex/gate-a-disarmed-start-mode; tip drift since WP-P0-01: no; subject: fix(deploy): reject start-mode env override
CREATED	legacy/evbr/codex--gate-a-integration/2026-08-25	ebada020a59edf539f60acfbb3a6bf870c8679e9	evidence-bearing branch codex/gate-a-integration; source ref refs/heads/codex/gate-a-integration; tip drift since WP-P0-01: no; subject: merge(gate-a): integrate accepted residual evidence tests
CREATED	legacy/evbr/codex--gate-a-overnight-report/2026-08-25	b5a48e6fde833cd40d4cc21ac5467956cf43f506	evidence-bearing branch codex/gate-a-overnight-report; source ref refs/heads/codex/gate-a-overnight-report; tip drift since WP-P0-01: no; subject: docs(gate-a): record residual merge overlap
CREATED	legacy/evbr/codex--gate-a-residual-evidence-tests/2026-08-25	3121e7c7ffe0921fed7340af5be34dbf412e3774	evidence-bearing branch codex/gate-a-residual-evidence-tests; source ref refs/heads/codex/gate-a-residual-evidence-tests; tip drift since WP-P0-01: no; subject: docs(gate-a): record residual evidence-test acceptance
CREATED	legacy/evbr/codex--gatea-a3-checkpoint/2026-08-25	237e80bd90aa8e68303aab8ab26040682f540bc8	evidence-bearing branch codex/gatea-a3-checkpoint; source ref refs/heads/codex/gatea-a3-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): checkpoint rerun through A-3
CREATED	legacy/evbr/codex--gatea-a3-postcheck/2026-08-25	e234833e4aa478d627f7935553e3a777c0e1c374	evidence-bearing branch codex/gatea-a3-postcheck; source ref refs/heads/codex/gatea-a3-postcheck; tip drift since WP-P0-01: no; subject: docs(gate-a): repair A3 postcheck checkpoint wording
CREATED	legacy/evbr/codex--gatea-a4-pass/2026-08-25	3ced3b2c78076797f4aa0ce18962e1db6887cf32	evidence-bearing branch codex/gatea-a4-pass; source ref refs/heads/codex/gatea-a4-pass; tip drift since WP-P0-01: no; subject: docs(gate-a): record A4 pass
CREATED	legacy/evbr/codex--gatea-a5-fail-checkpoint/2026-08-25	c11d43c379bdd5a0e3256d84651c868833bc65be	evidence-bearing branch codex/gatea-a5-fail-checkpoint; source ref refs/heads/codex/gatea-a5-fail-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record A5 readiness-race failure
CREATED	legacy/evbr/codex--gatea-a5a9-prereg-d/2026-08-25	8f4cd9c0776152927388a9a2fffaf24d6c495ef7	evidence-bearing branch codex/gatea-a5a9-prereg-d; source ref refs/heads/codex/gatea-a5a9-prereg-d; tip drift since WP-P0-01: no; subject: docs(gate-a): preregister A5-A9 run kit
CREATED	legacy/evbr/codex--gatea-a6-pass-checkpoint/2026-08-25	d42f16fdf0f521fb638ae98b1063b61e98ad03c6	evidence-bearing branch codex/gatea-a6-pass-checkpoint; source ref refs/heads/codex/gatea-a6-pass-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record A6 PASS under run-kit D
CREATED	legacy/evbr/codex--gatea-a6-preflight-checkpoint/2026-08-25	e180c311238b56f18932e808815e72f53d03fec3	evidence-bearing branch codex/gatea-a6-preflight-checkpoint; source ref refs/heads/codex/gatea-a6-preflight-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): checkpoint A6 preflight
CREATED	legacy/evbr/codex--gatea-a7-pass-checkpoint/2026-08-25	c9d9d73f1fd79c5dd1cdb128d33dd1ec3fda6736	evidence-bearing branch codex/gatea-a7-pass-checkpoint; source ref refs/heads/codex/gatea-a7-pass-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record A7 PASS under run-kit D
CREATED	legacy/evbr/codex--gatea-a7-preflight-checkpoint/2026-08-25	ba302a1ac01cfc0fbd233355bde0470288aac1ef	evidence-bearing branch codex/gatea-a7-preflight-checkpoint; source ref refs/heads/codex/gatea-a7-preflight-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): checkpoint A7 preflight
CREATED	legacy/evbr/codex--gatea-a8-pass-checkpoint/2026-08-25	9d7e20bcce387980fb5a2cfa576879b5c2625a48	evidence-bearing branch codex/gatea-a8-pass-checkpoint; source ref refs/heads/codex/gatea-a8-pass-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record A8 PASS under run-kit D
CREATED	legacy/evbr/codex--gatea-a8-preflight-checkpoint/2026-08-25	2ae537358bdc9d673f6f44cbc8199016073d0a72	evidence-bearing branch codex/gatea-a8-preflight-checkpoint; source ref refs/heads/codex/gatea-a8-preflight-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): checkpoint A8 preflight
CREATED	legacy/evbr/codex--gatea-a9-pass-final-checkpoint/2026-08-25	be15cba0156071c2aada0e57ecacf9703009ba00	evidence-bearing branch codex/gatea-a9-pass-final-checkpoint; source ref refs/heads/codex/gatea-a9-pass-final-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record final A0-A9 staging acceptance
CREATED	legacy/evbr/codex--gatea-a9-preflight-checkpoint/2026-08-25	e993e1c6c8b8bd382a9c1bcdc9c79f590cb0cf6a	evidence-bearing branch codex/gatea-a9-preflight-checkpoint; source ref refs/heads/codex/gatea-a9-preflight-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): checkpoint A9 preflight
CREATED	legacy/evbr/codex--gatea-d-transfer-checkpoint/2026-08-25	470805c77075e1c8b7b2f94dd9cb59e62173f063	evidence-bearing branch codex/gatea-d-transfer-checkpoint; source ref refs/heads/codex/gatea-d-transfer-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record run-kit D staging transfer
CREATED	legacy/evbr/codex--gatea-hour-ledger-checkpoint/2026-08-25	d1da8191557bb09c8b3546d1f0d19fc5d81cd9a3	evidence-bearing branch codex/gatea-hour-ledger-checkpoint; source ref refs/heads/codex/gatea-hour-ledger-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): reconstruct 50h ledger evidence
CREATED	legacy/evbr/codex--gatea-post-gate-inventory-checkpoint/2026-08-25	5a291f62e3d02c18623ddc4aa5408a86d91573ef	evidence-bearing branch codex/gatea-post-gate-inventory-checkpoint; source ref refs/heads/codex/gatea-post-gate-inventory-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record post-gate transition inventory
CREATED	legacy/evbr/codex--gatea-post-gate-roadmap-checkpoint/2026-08-25	35c03827828b92069ac26ff7bcb9c152d9d74ea0	evidence-bearing branch codex/gatea-post-gate-roadmap-checkpoint; source ref refs/heads/codex/gatea-post-gate-roadmap-checkpoint; tip drift since WP-P0-01: no; subject: docs(gate-a): record post-gate roadmap authority
CREATED	legacy/evbr/codex--gatea-runkit-c/2026-08-25	4c3e78b5fd38eaac64f2dafc880089b98fb2e0e9	evidence-bearing branch codex/gatea-runkit-c; source ref refs/heads/codex/gatea-runkit-c; tip drift since WP-P0-01: no; subject: docs(gate-a): correct run-kit C task tags
CREATED	legacy/evbr/codex--gemini-coder/2026-08-25	3cd56b4e30b8c991aee6ffb8400bbc47430bf49c	evidence-bearing branch codex/gemini-coder; source ref refs/heads/codex/gemini-coder; tip drift since WP-P0-01: no; subject: docs: normalize V2 research draft formatting
CREATED	legacy/evbr/codex--handoff-dashboard-prototype/2026-08-25	d08a70787487f658b6a2c9a5c764cb26304bb943	evidence-bearing branch codex/handoff-dashboard-prototype; source ref refs/heads/codex/handoff-dashboard-prototype; tip drift since WP-P0-01: no; subject: docs: add modular monorepo memory routing
CREATED	legacy/evbr/codex--kvm2-cycle4-closeout/2026-08-25	1eee6c916a9e0da4221925cc8ebbb29a304183d9	evidence-bearing branch codex/kvm2-cycle4-closeout; source ref refs/heads/codex/kvm2-cycle4-closeout; tip drift since WP-P0-01: no; subject: docs(kvm2): close Cycle 4 roster alignment
CREATED	legacy/evbr/codex--modular-monorepo/2026-08-25	d08a70787487f658b6a2c9a5c764cb26304bb943	evidence-bearing branch codex/modular-monorepo; source ref refs/heads/codex/modular-monorepo; tip drift since WP-P0-01: no; subject: docs: add modular monorepo memory routing
CREATED	legacy/evbr/codex--p9-15-producer-20260816/2026-08-25	08a8ac70270ccb3680537682d70452b99db1930f	evidence-bearing branch codex/p9-15-producer-20260816; source ref refs/heads/codex/p9-15-producer-20260816; tip drift since WP-P0-01: no; subject: docs: record P9-15 producer specification blocker
CREATED	legacy/evbr/codex--pathscope-accounting-redesign-20260815/2026-08-25	e2102f46535f512c06de058b5e86b63c5ad8f8a9	evidence-bearing branch codex/pathscope-accounting-redesign-20260815; source ref refs/heads/codex/pathscope-accounting-redesign-20260815; tip drift since WP-P0-01: no; subject: audit(pathscope): flagship returns REQUEST_CHANGES - two REQUIRED findings
CREATED	legacy/evbr/codex--rp7-r1-r4-repair-20260815/2026-08-25	810f5e7eda2057a9f44b026e0df3d58f8b2b1c5c	evidence-bearing branch codex/rp7-r1-r4-repair-20260815; source ref refs/heads/codex/rp7-r1-r4-repair-20260815; tip drift since WP-P0-01: no; subject: docs(memory): clean stop - 2026-08-17 handoff, entry point, queue, all lock rows released
CREATED	legacy/evbr/docs--deep-research-dashboard-archive/2026-08-25	e2c5fb731a7e82a5d4d953fe8d246451a02edd7a	evidence-bearing branch docs/deep-research-dashboard-archive; source ref refs/heads/docs/deep-research-dashboard-archive; tip drift since WP-P0-01: no; subject: docs(research): archive owner's 5-AI dashboard deep-research set (2026-08-18/20)
CREATED	legacy/evbr/docs--exit-aware-plan-and-cleanup-2026-07-15/2026-08-25	e92a36f989732798200ca5b249f0f0f93cc75213	evidence-bearing branch docs/exit-aware-plan-and-cleanup-2026-07-15; source ref refs/heads/docs/exit-aware-plan-and-cleanup-2026-07-15; tip drift since WP-P0-01: no; subject: docs: exit-aware gauntlet tooling plan + collapse NEXT_STEPS P2 union artifacts
CREATED	legacy/evbr/feature--exit-aware-gauntlet/2026-08-25	cc59c93163a4a6d1058de54a6df50810da637404	evidence-bearing branch feature/exit-aware-gauntlet; source ref refs/heads/feature/exit-aware-gauntlet; tip drift since WP-P0-01: no; subject: docs(faz3b): record independent Gate-5 findings for PR 22
CREATED	legacy/evbr/feature--ibkr-bridge-audit-claude/2026-08-25	e632afce584d536a5c283ba8540b896ad6d4175b	evidence-bearing branch feature/ibkr-bridge-audit-claude; source ref refs/heads/feature/ibkr-bridge-audit-claude; tip drift since WP-P0-01: no; subject: docs(ibkr-bridge): design audit by Claude
CREATED	legacy/evbr/feature--two-tier-policy/2026-08-25	ef185d1348056d54491decad92f7c8f5a73eeb75	evidence-bearing branch feature/two-tier-policy; source ref refs/heads/feature/two-tier-policy; tip drift since WP-P0-01: no; subject: docs: enforce two-tier AI workflow policy
CREATED	legacy/evbr/feature--vnext-amendments-20260824/2026-08-25	3b088fba01a1f73e6ccda3a8cbfd622c1d976bb1	evidence-bearing branch feature/vnext-amendments-20260824; source ref refs/heads/feature/vnext-amendments-20260824; tip drift since WP-P0-01: yes (WP-P0-01 tip 2fbe4e0b541986dc7209fa0e116178908381ab95); subject: docs(planning): third V-Next closure - wave-1 owner-plan note + V3-11 catalog tags
CREATED	legacy/evbr/feature--wayfinder-fold-map95-20260823/2026-08-25	f978c90ce787ccbd271f884544ff3a2daf62b7f0	evidence-bearing branch feature/wayfinder-fold-map95-20260823; source ref refs/heads/feature/wayfinder-fold-map95-20260823; tip drift since WP-P0-01: no; subject: docs(planning): fold map #95 operator-surface decisions
CREATED	legacy/evbr/feature--wayfinder-gap-audit-20260823/2026-08-25	6888b416eb39f8c9e0ae9680f1c460ccf4e7116c	evidence-bearing branch feature/wayfinder-gap-audit-20260823; source ref refs/heads/feature/wayfinder-gap-audit-20260823; tip drift since WP-P0-01: no; subject: docs: wayfinder macro gap audit of the accepted master planning set
CREATED	legacy/evbr/feature--wp-p0-15-branch-freshness-20260824/2026-08-25	e5d7cbf5e7a1d9a6c211192f54330eec60b635bf	evidence-bearing branch feature/wp-p0-15-branch-freshness-20260824; source ref refs/heads/feature/wp-p0-15-branch-freshness-20260824; tip drift since WP-P0-01: yes (WP-P0-01 tip 10876fb9eb818b00141e8b808fe6a4d706ffc06e); subject: fix(wp-p0-15): closure - run current guard from inside the created worktree
CREATED	legacy/evbr/integration--bridge-release-20260815/2026-08-25	be007fd802bbfd2eb181d66038c374865d1562ee	evidence-bearing branch integration/bridge-release-20260815; source ref refs/heads/integration/bridge-release-20260815; tip drift since WP-P0-01: no; subject: fix(bridge): UFW trailing-comment normalization + fixtures
CREATED	legacy/evbr/prototype--result-chart-mock-94/2026-08-25	578f3cfdd74ca66d84b8942e40d4806b69c4b6bf	evidence-bearing branch prototype/result-chart-mock-94; source ref refs/heads/prototype/result-chart-mock-94; tip drift since WP-P0-01: no; subject: chore(prototype): v2 of #94 mock — owner picked C, add requested extras
CREATED	legacy/evbr/rescue--wt-cdxfailover-wip-20260818/2026-08-25	50834664df732b1b89ab6ca5dcf21dae2ebeeb91	evidence-bearing branch rescue/wt-cdxfailover-wip-20260818; source ref refs/heads/rescue/wt-cdxfailover-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(CDXFAILOVER): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-kvm2glm-wip-20260818/2026-08-25	ba82c8b5c58f7f4aa16e31b3bfac13b6ecc052a6	evidence-bearing branch rescue/wt-kvm2glm-wip-20260818; source ref refs/heads/rescue/wt-kvm2glm-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(KVM2GLM): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-kvm2p03-wip-20260818/2026-08-25	03fc57d97b81f104ac8f26c65b134a136c2ee0be	evidence-bearing branch rescue/wt-kvm2p03-wip-20260818; source ref refs/heads/rescue/wt-kvm2p03-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(KVM2P03): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-pgrk-doc-20260818/2026-08-25	a733d3ddde46b09605e29b4a25dfe7a828a60d96	evidence-bearing branch rescue/wt-pgrk-doc-20260818; source ref refs/heads/rescue/wt-pgrk-doc-20260818; tip drift since WP-P0-01: no; subject: rescue(wt-pgrk): preserve unique Gate-A post-gate local run-kit design doc
CREATED	legacy/evbr/rescue--wt-postgate-runkit-design-wip-20260818/2026-08-25	b53aa79eb258bbbcf0bc656b6b7a9e518ce15350	evidence-bearing branch rescue/wt-postgate-runkit-design-wip-20260818; source ref refs/heads/rescue/wt-postgate-runkit-design-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(tmp-postgate_runkit_design_claude): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-r7ax-doc-20260818/2026-08-25	1212432873c13e5aacc02c78ec489f85017731eb	evidence-bearing branch rescue/wt-r7ax-doc-20260818; source ref refs/heads/rescue/wt-r7ax-doc-20260818; tip drift since WP-P0-01: no; subject: rescue(wt-r7ax): preserve RP7 cap-override Codex T0 audit doc variant
CREATED	legacy/evbr/rescue--wt-tsp1002-wip-20260818/2026-08-25	cae67a306c9c2472f48ab8101b38101c310ae9c0	evidence-bearing branch rescue/wt-tsp1002-wip-20260818; source ref refs/heads/rescue/wt-tsp1002-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1002): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1002a2-wip-20260818/2026-08-25	81d10a252754809523d6f194dfadbc8d6829b06f	evidence-bearing branch rescue/wt-tsp1002a2-wip-20260818; source ref refs/heads/rescue/wt-tsp1002a2-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1002A2): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1002a3-wip-20260818/2026-08-25	095b4fe83eb810bb54171c36e52e2057a74307e3	evidence-bearing branch rescue/wt-tsp1002a3-wip-20260818; source ref refs/heads/rescue/wt-tsp1002a3-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1002A3): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1002a4-wip-20260818/2026-08-25	59270db2e4bd23433311925407890870079fb378	evidence-bearing branch rescue/wt-tsp1002a4-wip-20260818; source ref refs/heads/rescue/wt-tsp1002a4-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1002A4): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1003a1-wip-20260818/2026-08-25	5033c8d6f39c3521ffcf4969971e9b85b18ac60e	evidence-bearing branch rescue/wt-tsp1003a1-wip-20260818; source ref refs/heads/rescue/wt-tsp1003a1-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1003A1): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1003a2-wip-20260818/2026-08-25	0402bda1833f44c9fabec1c055eeb673b29912bc	evidence-bearing branch rescue/wt-tsp1003a2-wip-20260818; source ref refs/heads/rescue/wt-tsp1003a2-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1003A2): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1003a3-wip-20260818/2026-08-25	57c7e3348be22cd27e35c92bcb3928b16392547b	evidence-bearing branch rescue/wt-tsp1003a3-wip-20260818; source ref refs/heads/rescue/wt-tsp1003a3-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1003A3): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1003a4-wip-20260818/2026-08-25	eddbd6ed4f39e6518e32a6c21ec26918fbb9975d	evidence-bearing branch rescue/wt-tsp1003a4-wip-20260818; source ref refs/heads/rescue/wt-tsp1003a4-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1003A4): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1003a5-wip-20260818/2026-08-25	051237b777566c2956d730a39f5a36d76a980a9b	evidence-bearing branch rescue/wt-tsp1003a5-wip-20260818; source ref refs/heads/rescue/wt-tsp1003a5-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1003A5): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1004-wip-20260818/2026-08-25	45a709f6d163d425d0c40ef8be6acd4672a2da34	evidence-bearing branch rescue/wt-tsp1004-wip-20260818; source ref refs/heads/rescue/wt-tsp1004-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1004): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1004a2-wip-20260818/2026-08-25	6e4e13e15a84d6a826193c00f4e2f2376ffd262f	evidence-bearing branch rescue/wt-tsp1004a2-wip-20260818; source ref refs/heads/rescue/wt-tsp1004a2-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1004A2): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/rescue--wt-tsp1004a4-wip-20260818/2026-08-25	155470ab24506106ab5c9ead6dc225bbb55ed468	evidence-bearing branch rescue/wt-tsp1004a4-wip-20260818; source ref refs/heads/rescue/wt-tsp1004a4-wip-20260818; tip drift since WP-P0-01: no; subject: rescue(TSP1004A4): preserve uncommitted WIP before worktree cleanup 2026-08-18
CREATED	legacy/evbr/research--bridge-plan-delta/2026-08-25	ce027f8422cc38c5babe5b460b607c1d26d4eb8c	evidence-bearing branch research/bridge-plan-delta; source ref refs/heads/research/bridge-plan-delta; tip drift since WP-P0-01: no; subject: docs(research): bridge vs plan delta (wayfinder #87)
CREATED	legacy/evbr/research--data-foundation-audit/2026-08-25	613c982baad5701c1f3411b870820c9c8da7bfb6	evidence-bearing branch research/data-foundation-audit; source ref refs/heads/research/data-foundation-audit; tip drift since WP-P0-01: no; subject: docs(research): data foundation audit (wayfinder #70)
CREATED	legacy/evbr/research--evidence-artifact-catalog/2026-08-25	4dd622e5ff82db5c145768cbb7321e029a3b8b90	evidence-bearing branch research/evidence-artifact-catalog; source ref refs/heads/research/evidence-artifact-catalog; tip drift since WP-P0-01: no; subject: docs(research): evidence artifact catalog (wayfinder #81)
CREATED	legacy/evbr/research--execution-responsibility-matrix/2026-08-25	12bc2027a48315ad1bffa07e0d507eafaacbdd75	evidence-bearing branch research/execution-responsibility-matrix; source ref refs/heads/research/execution-responsibility-matrix; tip drift since WP-P0-01: no; subject: docs(research): execution responsibility matrix (wayfinder #88)
CREATED	legacy/evbr/research--execution-surface-inventory/2026-08-25	3ec79b3c5a88ec58735864f6040b78e18afdd05f	evidence-bearing branch research/execution-surface-inventory; source ref refs/heads/research/execution-surface-inventory; tip drift since WP-P0-01: no; subject: docs(wayfinder): execution-surface inventory (ticket #99)
CREATED	legacy/evbr/research--explorer-surface-inventory/2026-08-25	a4bd7c7fe149f7b3fa8ce474802834c624cb7c00	evidence-bearing branch research/explorer-surface-inventory; source ref refs/heads/research/explorer-surface-inventory; tip drift since WP-P0-01: no; subject: docs(research): explorer surface inventory (wayfinder #80)
CREATED	legacy/evbr/research--failure-mode-catalog/2026-08-25	cc98e90d71efe533660c8cb860f1cc1f14c10670	evidence-bearing branch research/failure-mode-catalog; source ref refs/heads/research/failure-mode-catalog; tip drift since WP-P0-01: no; subject: docs(wayfinder): failure-mode catalog vs safety mechanisms (ticket #105)
CREATED	legacy/evbr/research--hyperliquid-account-structure/2026-08-25	ea6ad389e22661b329cd2910c60b06ce80141795	evidence-bearing branch research/hyperliquid-account-structure; source ref refs/heads/research/hyperliquid-account-structure; tip drift since WP-P0-01: no; subject: docs(wayfinder): Hyperliquid account structure research (#51)
CREATED	legacy/evbr/research--hyperliquid-candle-data/2026-08-25	8308f0e8352d9bd4ad5973610ebf61bffd76f2b2	evidence-bearing branch research/hyperliquid-candle-data; source ref refs/heads/research/hyperliquid-candle-data; tip drift since WP-P0-01: no; subject: docs(wayfinder): Hyperliquid candle data research (#53)
CREATED	legacy/evbr/research--intake-front-audit/2026-08-25	8c574f3898ec08c700d30b1c09b93199d1d6fa14	evidence-bearing branch research/intake-front-audit; source ref refs/heads/research/intake-front-audit; tip drift since WP-P0-01: no; subject: docs(research): intake front audit (wayfinder #56)
CREATED	legacy/evbr/research--kernel-implementation-inventory/2026-08-25	8aabf65dcffcde2c881b64d6556c10b692b0eb8e	evidence-bearing branch research/kernel-implementation-inventory; source ref refs/heads/research/kernel-implementation-inventory; tip drift since WP-P0-01: no; subject: docs(research): kernel implementation inventory (wayfinder #68)
CREATED	legacy/evbr/research--kvm2-ops-baseline/2026-08-25	4ce8a07edea186d59861cca0e9e442745b976ca6	evidence-bearing branch research/kvm2-ops-baseline; source ref refs/heads/research/kvm2-ops-baseline; tip drift since WP-P0-01: no; subject: docs(wayfinder): repo-side ops baseline (ticket #106)
CREATED	legacy/evbr/research--lifecycle-prior-art/2026-08-25	ff5ad46e71d6d43447b227861dafe0270a467f76	evidence-bearing branch research/lifecycle-prior-art; source ref refs/heads/research/lifecycle-prior-art; tip drift since WP-P0-01: no; subject: docs(research): lifecycle prior art (wayfinder #57)
CREATED	legacy/evbr/research--lifecycle-stage-inventory/2026-08-25	4914bc8333a50b04b62e6110cee77d93b4223ff6	evidence-bearing branch research/lifecycle-stage-inventory; source ref refs/heads/research/lifecycle-stage-inventory; tip drift since WP-P0-01: no; subject: docs(research): lifecycle stage inventory (wayfinder #55)
CREATED	legacy/evbr/research--lifecycle-state-stores/2026-08-25	f69800600c48fe17489072ae59033ed6755e5a8c	evidence-bearing branch research/lifecycle-state-stores; source ref refs/heads/research/lifecycle-state-stores; tip drift since WP-P0-01: no; subject: docs(research): lifecycle state stores (wayfinder #58)
