run_order,case_id,status,primary_detail,notes
142,parity_bnd_061_tp_r_multiple_single_tp_v02,PASS,PASS,
143,parity_bnd_061_tp_r_multiple_single_tp_v03,PASS,PASS,
144,parity_core_062_use_stop_loss_v01,NO_FILE,,No XLSX file found in 144_parity_core_062_use_stop_loss_v01/
145,parity_bnd_062_use_stop_loss_v02,PASS,PASS,
146,parity_core_063_use_take_profit_v01,NO_FILE,,No XLSX file found in 146_parity_core_063_use_take_profit_v01/
147,parity_bnd_063_use_take_profit_v02,PASS,PASS,
148,parity_core_064_use_break_even_v01,NO_FILE,,No XLSX file found in 148_parity_core_064_use_break_even_v01/
149,parity_bnd_064_use_break_even_v02,PASS,PASS,
150,parity_core_065_use_multi_tp_2_tps_requires_take_profit_on_v01,NO_FILE,,No XLSX file found in 150_parity_core_065_use_multi_tp_2_tps_requires_take_profit_on_v01/
151,parity_bnd_065_use_multi_tp_2_tps_requires_take_profit_on_v02,PASS,PASS,
152,parity_core_066_tp2_at_r_multiple_v01,NO_FILE,,No XLSX file found in 152_parity_core_066_tp2_at_r_multiple_v01/
153,parity_bnd_066_tp2_at_r_multiple_v02,PASS,PASS,
154,parity_bnd_066_tp2_at_r_multiple_v03,PASS,PASS,
155,parity_core_067_swing_sl_atr_length_v01,PASS,PASS,
156,parity_bnd_067_swing_sl_atr_length_v02,PASS,PASS,
157,parity_bnd_067_swing_sl_atr_length_v03,PASS,PASS,
158,parity_core_068_swing_sl_atr_multiplier_v01,PASS,PASS,
159,parity_bnd_068_swing_sl_atr_multiplier_v02,PASS,PASS,
160,parity_bnd_068_swing_sl_atr_multiplier_v03,PASS,PASS,
161,parity_core_069_sl_atr_length_v01,NO_FILE,,No XLSX file found in 161_parity_core_069_sl_atr_length_v01/
162,parity_bnd_069_sl_atr_length_v02,PASS,PASS,
163,parity_bnd_069_sl_atr_length_v03,PASS,PASS,
164,parity_core_070_sl_atr_multiplier_v01,NO_FILE,,No XLSX file found in 164_parity_core_070_sl_atr_multiplier_v01/
165,parity_bnd_070_sl_atr_multiplier_v02,PASS,PASS,
166,parity_bnd_070_sl_atr_multiplier_v03,PASS,PASS,
167,parity_core_071_tp_atr_length_v01,PASS,PASS,
168,parity_bnd_071_tp_atr_length_v02,PASS,PASS,
169,parity_bnd_071_tp_atr_length_v03,PASS,PASS,
170,parity_core_072_tp_atr_multiplier_v01,PASS,PASS,
171,parity_bnd_072_tp_atr_multiplier_v02,PASS,PASS,
172,parity_bnd_072_tp_atr_multiplier_v03,PASS,PASS,
173,parity_core_073_be_trigger_r_multiple_v01,NO_FILE,,No XLSX file found in 173_parity_core_073_be_trigger_r_multiple_v01/
174,parity_bnd_073_be_trigger_r_multiple_v02,PASS,PASS,
175,parity_bnd_073_be_trigger_r_multiple_v03,PASS,PASS,
176,parity_core_074_be_buffer_r_multiple_v01,NO_FILE,,No XLSX file found in 176_parity_core_074_be_buffer_r_multiple_v01/
177,parity_bnd_074_be_buffer_r_multiple_v02,PASS,PASS,
178,parity_bnd_074_be_buffer_r_multiple_v03,NO_FILE,,No XLSX file found in 178_parity_bnd_074_be_buffer_r_multiple_v03/
179,parity_core_075_tp1_at_r_multiple_v01,NO_FILE,,No XLSX file found in 179_parity_core_075_tp1_at_r_multiple_v01/
180,parity_bnd_075_tp1_at_r_multiple_v02,PASS,PASS,
181,parity_bnd_075_tp1_at_r_multiple_v03,PASS,PASS,
182,parity_core_076_tp1_close_of_position_v01,NO_FILE,,No XLSX file found in 182_parity_core_076_tp1_close_of_position_v01/
183,parity_bnd_076_tp1_close_of_position_v02,PASS,PASS,
184,parity_bnd_076_tp1_close_of_position_v03,PASS,PASS,
185,parity_core_077_use_trailing_stop_v01,NO_FILE,,No XLSX file found in 185_parity_core_077_use_trailing_stop_v01/
186,parity_bnd_077_use_trailing_stop_v02,PASS,PASS,
187,parity_core_078_trailing_atr_length_v01,NO_FILE,,No XLSX file found in 187_parity_core_078_trailing_atr_length_v01/
188,parity_bnd_078_trailing_atr_length_v02,PASS,PASS,
189,parity_bnd_078_trailing_atr_length_v03,PASS,PASS,
190,parity_core_079_start_after_r_multiple_v01,NO_FILE,,No XLSX file found in 190_parity_core_079_start_after_r_multiple_v01/
191,parity_bnd_079_start_after_r_multiple_v02,PASS,PASS,
192,parity_bnd_079_start_after_r_multiple_v03,PASS,PASS,
193,parity_core_080_trail_distance_r_multiple_v01,NO_FILE,,No XLSX file found in 193_parity_core_080_trail_distance_r_multiple_v01/
194,parity_bnd_080_trail_distance_r_multiple_v02,PASS,PASS,
195,parity_bnd_080_trail_distance_r_multiple_v03,PASS,PASS,
196,parity_core_081_use_ma_filter_v01,NO_FILE,,No XLSX file found in 196_parity_core_081_use_ma_filter_v01/
197,parity_bnd_081_use_ma_filter_v02,PASS,PASS,
198,parity_core_082_use_ma_slope_filter_v01,NO_FILE,,No XLSX file found in 198_parity_core_082_use_ma_slope_filter_v01/
199,parity_bnd_082_use_ma_slope_filter_v02,PASS,PASS,
200,parity_core_083_use_mcginley_filter_v01,NO_FILE,,No XLSX file found in 200_parity_core_083_use_mcginley_filter_v01/
201,parity_bnd_083_use_mcginley_filter_v02,PASS,PASS,
202,parity_core_084_use_htf_trend_filter_v01,NO_FILE,,No XLSX file found in 202_parity_core_084_use_htf_trend_filter_v01/
203,parity_bnd_084_use_htf_trend_filter_v02,PASS,PASS,
204,parity_core_085_htf_ma_length_v01,NO_FILE,,No XLSX file found in 204_parity_core_085_htf_ma_length_v01/
205,parity_bnd_085_htf_ma_length_v02,PASS,PASS,
206,parity_bnd_085_htf_ma_length_v03,PASS,PASS,
207,parity_core_086_htf_buffer_v01,NO_FILE,,No XLSX file found in 207_parity_core_086_htf_buffer_v01/
208,parity_bnd_086_htf_buffer_v02,PASS,PASS,
209,parity_bnd_086_htf_buffer_v03,NO_FILE,,No XLSX file found in 209_parity_bnd_086_htf_buffer_v03/
210,parity_core_087_use_volume_participation_filter_v01,PASS,PASS,
211,parity_bnd_087_use_volume_participation_filter_v02,NO_FILE,,No XLSX file found in 211_parity_bnd_087_use_volume_participation_filter_v02/
212,parity_core_088_ma_type_v01,NO_FILE,,No XLSX file found in 212_parity_core_088_ma_type_v01/
213,parity_bnd_088_ma_type_v02,PASS,PASS,
214,parity_bnd_088_ma_type_v03,PASS,PASS,
215,parity_bnd_088_ma_type_v04,PASS,PASS,
216,parity_core_089_ma_length_v01,NO_FILE,,No XLSX file found in 216_parity_core_089_ma_length_v01/
217,parity_bnd_089_ma_length_v02,PASS,PASS,
218,parity_bnd_089_ma_length_v03,PASS,PASS,
219,parity_core_090_ma_slope_len_v01,NO_FILE,,No XLSX file found in 219_parity_core_090_ma_slope_len_v01/
220,parity_bnd_090_ma_slope_len_v02,PASS,PASS,
221,parity_bnd_090_ma_slope_len_v03,PASS,PASS,
222,parity_core_091_ma_slope_min_bar_v01,NO_FILE,,No XLSX file found in 222_parity_core_091_ma_slope_min_bar_v01/
223,parity_bnd_091_ma_slope_min_bar_v02,PASS,PASS,
224,parity_bnd_091_ma_slope_min_bar_v03,PASS,PASS,
225,parity_core_092_ma_use_higher_timeframe_v01,PASS,PASS,
226,parity_bnd_092_ma_use_higher_timeframe_v02,PASS,PASS,
227,parity_core_093_ma_htf_timeframe_v01,NO_FILE,,No XLSX file found in 227_parity_core_093_ma_htf_timeframe_v01/
228,parity_bnd_093_ma_htf_timeframe_v02,PASS,PASS,
229,parity_bnd_093_ma_htf_timeframe_v03,PASS,PASS,
230,parity_core_094_mcginley_length_v01,PASS,PASS,
231,parity_bnd_094_mcginley_length_v02,PASS,PASS,
232,parity_bnd_094_mcginley_length_v03,PASS,PASS,
233,parity_core_095_mcginley_use_higher_timeframe_v01,NO_FILE,,No XLSX file found in 233_parity_core_095_mcginley_use_higher_timeframe_v01/
234,parity_bnd_095_mcginley_use_higher_timeframe_v02,PASS,PASS,
235,parity_core_096_mcginley_htf_timeframe_v01,PASS,PASS,
236,parity_bnd_096_mcginley_htf_timeframe_v02,PASS,PASS,
237,parity_bnd_096_mcginley_htf_timeframe_v03,PASS,PASS,
238,parity_core_097_htf_trend_timeframe_v01,PASS,PASS,
239,parity_bnd_097_htf_trend_timeframe_v02,PASS,PASS,
240,parity_bnd_097_htf_trend_timeframe_v03,PASS,PASS,
241,parity_core_098_htf_ma_type_v01,NO_FILE,,No XLSX file found in 241_parity_core_098_htf_ma_type_v01/
242,parity_bnd_098_htf_ma_type_v02,PASS,PASS,
243,parity_bnd_098_htf_ma_type_v03,PASS,PASS,
244,parity_bnd_098_htf_ma_type_v04,PASS,PASS,
245,parity_core_099_vol_sma_length_v01,PASS,PASS,
246,parity_bnd_099_vol_sma_length_v02,PASS,PASS,
247,parity_bnd_099_vol_sma_length_v03,PASS,PASS,
248,parity_core_100_vol_min_sma_v01,NO_FILE,,No XLSX file found in 248_parity_core_100_vol_min_sma_v01/
249,parity_bnd_100_vol_min_sma_v02,PASS,PASS,
250,parity_bnd_100_vol_min_sma_v03,PASS,PASS,
251,parity_core_101_use_range_filters_entry_pause_v01,NO_FILE,,No XLSX file found in 251_parity_core_101_use_range_filters_entry_pause_v01/
252,parity_bnd_101_use_range_filters_entry_pause_v02,PASS,PASS,
253,parity_core_102_range_aggregation_v01,PASS,PASS,
254,parity_bnd_102_range_aggregation_v02,PASS,PASS,
255,parity_core_103_range_hold_bars_v01,NO_FILE,,No XLSX file found in 255_parity_core_103_range_hold_bars_v01/
256,parity_bnd_103_range_hold_bars_v02,PASS,PASS,
257,parity_bnd_103_range_hold_bars_v03,PASS,PASS,
258,parity_core_105_use_adx_range_filter_v01,PASS,PASS,
259,parity_bnd_105_use_adx_range_filter_v02,NO_FILE,,No XLSX file found in 259_parity_bnd_105_use_adx_range_filter_v02/
260,parity_core_106_adx_length_v01,PASS,PASS,
261,parity_bnd_106_adx_length_v02,PASS,PASS,
262,parity_bnd_106_adx_length_v03,PASS,PASS,
263,parity_core_107_adx_on_threshold_v01,PASS,PASS,
264,parity_bnd_107_adx_on_threshold_v02,PASS,PASS,
265,parity_bnd_107_adx_on_threshold_v03,PASS,PASS,
266,parity_core_108_adx_off_threshold_v01,PASS,PASS,
267,parity_bnd_108_adx_off_threshold_v02,PASS,PASS,
268,parity_bnd_108_adx_off_threshold_v03,PASS,PASS,
269,parity_core_109_use_choppiness_filter_v01,PASS,PASS,
270,parity_bnd_109_use_choppiness_filter_v02,NO_FILE,,No XLSX file found in 270_parity_bnd_109_use_choppiness_filter_v02/
271,parity_core_110_chop_length_v01,PASS,PASS,
272,parity_bnd_110_chop_length_v02,PASS,PASS,
273,parity_bnd_110_chop_length_v03,PASS,PASS,
274,parity_core_111_chop_on_threshold_v01,PASS,PASS,
275,parity_bnd_111_chop_on_threshold_v02,PASS,PASS,
276,parity_bnd_111_chop_on_threshold_v03,PASS,PASS,
277,parity_core_112_chop_off_threshold_v01,NO_FILE,,No XLSX file found in 277_parity_core_112_chop_off_threshold_v01/
278,parity_bnd_112_chop_off_threshold_v02,PASS,PASS,
279,parity_bnd_112_chop_off_threshold_v03,PASS,PASS,
280,parity_core_113_count_mode_min_pass_v01,PASS,PASS,
281,parity_bnd_113_count_mode_min_pass_v02,PASS,PASS,
282,parity_bnd_113_count_mode_min_pass_v03,NO_FILE,,No XLSX file found in 282_parity_bnd_113_count_mode_min_pass_v03/
283,parity_core_114_use_atr_volatility_floor_v01,PASS,PASS,
284,parity_bnd_114_use_atr_volatility_floor_v02,NO_FILE,,No XLSX file found in 284_parity_bnd_114_use_atr_volatility_floor_v02/
285,parity_core_115_atr_min_atr_baseline_v01,NO_FILE,,No XLSX file found in 285_parity_core_115_atr_min_atr_baseline_v01/
286,parity_bnd_115_atr_min_atr_baseline_v02,PASS,PASS,
287,parity_bnd_115_atr_min_atr_baseline_v03,PASS,PASS,
288,parity_core_116_adx_use_higher_timeframe_v01,NO_FILE,,No XLSX file found in 288_parity_core_116_adx_use_higher_timeframe_v01/
289,parity_bnd_116_adx_use_higher_timeframe_v02,PASS,PASS,
290,parity_core_117_adx_htf_timeframe_v01,PASS,PASS,
291,parity_bnd_117_adx_htf_timeframe_v02,PASS,PASS,
292,parity_bnd_117_adx_htf_timeframe_v03,PASS,PASS,
293,parity_core_118_chop_use_higher_timeframe_v01,NO_FILE,,No XLSX file found in 293_parity_core_118_chop_use_higher_timeframe_v01/
294,parity_bnd_118_chop_use_higher_timeframe_v02,PASS,PASS,
295,parity_core_119_chop_htf_timeframe_v01,PASS,PASS,
296,parity_bnd_119_chop_htf_timeframe_v02,PASS,PASS,
297,parity_bnd_119_chop_htf_timeframe_v03,PASS,PASS,
298,parity_core_120_atr_vol_floor_atr_len_v01,PASS,PASS,
299,parity_bnd_120_atr_vol_floor_atr_len_v02,PASS,PASS,
300,parity_bnd_120_atr_vol_floor_atr_len_v03,PASS,PASS,
301,parity_core_121_atr_baseline_sma_len_v01,NO_FILE,,No XLSX file found in 301_parity_core_121_atr_baseline_sma_len_v01/
302,parity_bnd_121_atr_baseline_sma_len_v02,PASS,PASS,
303,parity_bnd_121_atr_baseline_sma_len_v03,PASS,PASS,
304,parity_core_122_use_max_drawdown_guard_v01,NO_FILE,,No XLSX file found in 304_parity_core_122_use_max_drawdown_guard_v01/
305,parity_bnd_122_use_max_drawdown_guard_v02,PASS,PASS,
306,parity_core_123_max_drawdown_v01,PASS,PASS,
307,parity_bnd_123_max_drawdown_v02,PASS,PASS,
308,parity_bnd_123_max_drawdown_v03,PASS,PASS,
309,parity_core_124_use_consecutive_loss_halt_v01,NO_FILE,,No XLSX file found in 309_parity_core_124_use_consecutive_loss_halt_v01/
310,parity_bnd_124_use_consecutive_loss_halt_v02,PASS,PASS,
311,parity_core_125_max_consecutive_losses_v01,PASS,PASS,
312,parity_bnd_125_max_consecutive_losses_v02,PASS,PASS,
313,parity_bnd_125_max_consecutive_losses_v03,PASS,PASS,
314,parity_core_126_use_trade_cooldown_v01,NO_FILE,,No XLSX file found in 314_parity_core_126_use_trade_cooldown_v01/
315,parity_bnd_126_use_trade_cooldown_v02,PASS,PASS,
316,parity_core_127_cooldown_bars_after_exit_v01,PASS,PASS,
317,parity_bnd_127_cooldown_bars_after_exit_v02,PASS,PASS,
318,parity_bnd_127_cooldown_bars_after_exit_v03,PASS,PASS,
319,parity_core_128_use_equity_curve_filter_v01,PASS,PASS,
320,parity_bnd_128_use_equity_curve_filter_v02,NO_FILE,,No XLSX file found in 320_parity_bnd_128_use_equity_curve_filter_v02/
321,parity_core_129_equity_ma_length_v01,PASS,PASS,
322,parity_bnd_129_equity_ma_length_v02,NO_FILE,,No XLSX file found in 322_parity_bnd_129_equity_ma_length_v02/
323,parity_bnd_129_equity_ma_length_v03,PASS,PASS,
324,parity_core_130_use_mae_guard_in_trade_v01,NO_FILE,,No XLSX file found in 324_parity_core_130_use_mae_guard_in_trade_v01/
325,parity_bnd_130_use_mae_guard_in_trade_v02,PASS,PASS,
326,parity_core_131_max_mae_v01,PASS,PASS,
327,parity_bnd_131_max_mae_v02,PASS,PASS,
328,parity_bnd_131_max_mae_v03,PASS,PASS,
329,parity_core_132_consec_loss_reset_daily_legacy_v01,PASS,PASS,
330,parity_bnd_132_consec_loss_reset_daily_legacy_v02,PASS,PASS,
331,parity_core_133_use_guard_recovery_auto_resume_after_block_v01,NO_FILE,,No XLSX file found in 331_parity_core_133_use_guard_recovery_auto_resume_after_block_v01/
332,parity_bnd_133_use_guard_recovery_auto_resume_after_block_v02,PASS,PASS,
333,parity_core_134_recovery_mode_v01,PASS,PASS,
334,parity_bnd_134_recovery_mode_v02,PASS,PASS,
335,parity_bnd_134_recovery_mode_v03,PASS,PASS,
336,parity_bnd_134_recovery_mode_v04,NO_FILE,,No XLSX file found in 336_parity_bnd_134_recovery_mode_v04/
337,parity_core_135_recovery_after_bars_v01,PASS,PASS,
338,parity_bnd_135_recovery_after_bars_v02,PASS,PASS,
339,parity_bnd_135_recovery_after_bars_v03,PASS,PASS,
340,parity_core_136_recovery_after_signals_v01,PASS,PASS,
341,parity_bnd_136_recovery_after_signals_v02,PASS,PASS,
342,parity_bnd_136_recovery_after_signals_v03,PASS,PASS,
343,parity_core_137_recovery_early_exit_when_equity_curve_turn_v01,PASS,PASS,
344,parity_bnd_137_recovery_early_exit_when_equity_curve_turn_v02,PASS,PASS,
345,parity_core_138_recovery_quality_based_virtual_trade_conse_v01,NO_FILE,,No XLSX file found in 345_parity_core_138_recovery_quality_based_virtual_trade_conse_v01/
346,parity_bnd_138_recovery_quality_based_virtual_trade_conse_v02,NO_FILE,,No XLSX file found in 346_parity_bnd_138_recovery_quality_based_virtual_trade_conse_v02/
