run_order,case_id,seq,primary_name,primary_value,tv_trade_count,reason
126,parity_bnd_055_sl_mode_v04,055,SL Mode,SWING_ATR,2,Same TV trades as [125] SL Mode=Swing+ATR
127,parity_core_056_swing_sl_basis_v01,056,Swing SL Basis,Wick,2,ALL 2 cases in seq 056 produce 2 TV trades
128,parity_bnd_056_swing_sl_basis_v02,056,Swing SL Basis,Body,2,ALL 2 cases in seq 056 produce ? TV trades
155,parity_core_067_swing_sl_atr_length_v01,067,Swing SL ATR Length,14,2,ALL 3 cases in seq 067 produce 2 TV trades
156,parity_bnd_067_swing_sl_atr_length_v02,067,Swing SL ATR Length,7,2,ALL 3 cases in seq 067 produce ? TV trades
157,parity_bnd_067_swing_sl_atr_length_v03,067,Swing SL ATR Length,21,2,ALL 3 cases in seq 067 produce ? TV trades
158,parity_core_068_swing_sl_atr_multiplier_v01,068,Swing SL ATR Multiplier,0.5,2,Same TV trades as [159] Swing SL ATR Multiplier=0.25
159,parity_bnd_068_swing_sl_atr_multiplier_v02,068,Swing SL ATR Multiplier,0.25,2,Same TV trades as [158] Swing SL ATR Multiplier=0.5
167,parity_core_071_tp_atr_length_v01,071,TP ATR Length,14,23,Same TV trades as [169] TP ATR Length=21
169,parity_bnd_071_tp_atr_length_v03,071,TP ATR Length,21,23,Same TV trades as [167] TP ATR Length=14
183,parity_bnd_076_tp1_close_of_position_v02,076,TP1 Close % of position,25,241,ALL 2 cases in seq 076 produce 241 TV trades
184,parity_bnd_076_tp1_close_of_position_v03,076,TP1 Close % of position,75,241,ALL 2 cases in seq 076 produce ? TV trades
188,parity_bnd_078_trailing_atr_length_v02,078,Trailing ATR Length,7,241,ALL 2 cases in seq 078 produce 241 TV trades
189,parity_bnd_078_trailing_atr_length_v03,078,Trailing ATR Length,21,241,ALL 2 cases in seq 078 produce ? TV trades
230,parity_core_094_mcginley_length_v01,094,[McGinley] Length,5,224,Same TV trades as [232] [McGinley] Length=10
232,parity_bnd_094_mcginley_length_v03,094,[McGinley] Length,10,224,Same TV trades as [230] [McGinley] Length=5
236,parity_bnd_096_mcginley_htf_timeframe_v02,096,[McGinley] HTF Timeframe,240,224,Same TV trades as [237] [McGinley] HTF Timeframe=15
237,parity_bnd_096_mcginley_htf_timeframe_v03,096,[McGinley] HTF Timeframe,15,224,Same TV trades as [236] [McGinley] HTF Timeframe=240
253,parity_core_102_range_aggregation_v01,102,Range Aggregation,AND,198,ALL 2 cases in seq 102 produce 198 TV trades
254,parity_bnd_102_range_aggregation_v02,102,Range Aggregation,COUNT,198,ALL 2 cases in seq 102 produce ? TV trades
326,parity_core_131_max_mae_v01,131,Max MAE %,2,241,ALL 3 cases in seq 131 produce 241 TV trades
327,parity_bnd_131_max_mae_v02,131,Max MAE %,1,241,ALL 3 cases in seq 131 produce ? TV trades
328,parity_bnd_131_max_mae_v03,131,Max MAE %,4,241,ALL 3 cases in seq 131 produce ? TV trades
362,parity_core_194_mode_v01,194,Mode,STANDARD,177,ALL 2 cases in seq 194 produce 177 TV trades
363,parity_bnd_194_mode_v02,194,Mode,PPO_NORM,177,ALL 2 cases in seq 194 produce ? TV trades
373,parity_bnd_198_signal_v02,198,Signal,5,177,ALL 2 cases in seq 198 produce 177 TV trades
374,parity_bnd_198_signal_v03,198,Signal,15,177,ALL 2 cases in seq 198 produce ? TV trades
385,parity_core_204_min_distance_0_no_effect_v01,204,Min distance (0=no effect),0.1,177,ALL 2 cases in seq 204 produce 177 TV trades
386,parity_bnd_204_min_distance_0_no_effect_v02,204,Min distance (0=no effect),0.5,177,ALL 2 cases in seq 204 produce ? TV trades
424,parity_bnd_221_if_long_short_raw_same_bar_v02,221,If LONG & SHORT raw same bar,SHORT_WINS,237,ALL 2 cases in seq 221 produce 237 TV trades
425,parity_bnd_221_if_long_short_raw_same_bar_v03,221,If LONG & SHORT raw same bar,IGNORE,237,ALL 2 cases in seq 221 produce ? TV trades
430,parity_core_224_break_buffer_ticks_v01,224,Break buffer (ticks),1,237,ALL 3 cases in seq 224 produce 237 TV trades
431,parity_bnd_224_break_buffer_ticks_v02,224,Break buffer (ticks),5,237,ALL 3 cases in seq 224 produce ? TV trades
432,parity_bnd_224_break_buffer_ticks_v03,224,Break buffer (ticks),0,237,ALL 3 cases in seq 224 produce ? TV trades
433,parity_core_225_max_swing_distance_0_off_v01,225,Max swing distance % (0 = off),2,237,ALL 2 cases in seq 225 produce 237 TV trades
434,parity_bnd_225_max_swing_distance_0_off_v02,225,Max swing distance % (0 = off),5,237,ALL 2 cases in seq 225 produce ? TV trades
