"video_id","normalized_url","original_url","title","channel_name","channel_id","transcript_hash","candidate_id","status","first_seen_at","last_seen_at","process_count","notes"
"UNKNOWN_VIDEO_2026-05-01_VWAP_PULLBACK_REVERSAL","UNKNOWN_URL","UNKNOWN_URL","VWAP day trading pullback and reversal setups","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","3ddce69e11c578436f923a529fcad8e148e17830841991737ccdc6eb6ce44580","QL_2026-05-01_LIQUID_INTRADAY_VWAP_PULLBACK_REVERSAL","CANDIDATE","2026-05-01","2026-05-01","2","READY_FOR_PYTHON_PROTOTYPE; URL/channel missing; codable VWAP pullback and reversal setups; duplicate resubmission seen"
"UNKNOWN_VIDEO_2026-05-01_RSI_CONFLUENCE_PLAYBOOK","UNKNOWN_URL","UNKNOWN_URL","RSI indicator course with five setups and confluence filters","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","02da9e6e234968aeea03f11d140ee6b46305d1608bd674ff685d72f1c755b09b","QL_2026-05-01_ANY_1H_RSI_CONFLUENCE_PLAYBOOK","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; URL/channel missing; broad RSI playbook must be decomposed before prototype"
"UNKNOWN_VIDEO_2026-05-01_TWO_CANDLE_THEORY_SR","UNKNOWN_URL","UNKNOWN_URL","Two candle theory sentiment with support and resistance","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","742fbc7184cfe33487fe568b9c9ca695c5a33aaccd5d0028a1b299794f449203","QL_2026-05-01_SP500_5M_TWO_CANDLE_SENTIMENT_SR","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; URL/channel missing; codable two-candle sentiment state machine with S/R breakouts"
"UNKNOWN_VIDEO_2026-05-01_DUAL_RSI_60_40_SWING","UNKNOWN_URL","UNKNOWN_URL","Dual RSI 60/40 swing pullback strategy","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","0085bb9a34bfa64ce8e0d99b3532a28da703023088af74d8171f22417860337a","QL_2026-05-01_SWING_1H_DUAL_RSI_60_40_PULLBACK","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; URL/channel missing; codable dual RSI MTF pullback strategy"
"UNKNOWN_VIDEO_2026-05-01_BOLLINGER_BANDS_BREAKOUT_REVERSAL_PULLBACK","UNKNOWN_URL","UNKNOWN_URL","Bollinger Bands 20/2 breakout reversal and pullback setups","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","19fc0518715c9aa3f259a52428a394cb766b7282cdfc64d072a29bc1bbc3f24b","QL_2026-05-01_ANY_BOLLINGER_BANDS_20_2_TRI_SETUP","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; URL/channel missing; codable Bollinger Band tri-setup but must be decomposed"
"UNKNOWN_VIDEO_2026-05-01_CANDLESTICK_7_PATTERNS_PA","UNKNOWN_URL","UNKNOWN_URL","Seven candlestick patterns with price action confluence","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","f1b081079871e2770315c4848206bf2081e8067bfa2282f5ebed392646801a73","QL_2026-05-01_ANY_CANDLESTICK_7_PATTERN_PA_CONFLUENCE","CANDIDATE","2026-05-01","2026-05-01","1","READY_FOR_PYTHON_PROTOTYPE; URL/channel missing; broad candlestick playbook must be decomposed"
"-JyH5PAJ4-Y","https://www.youtube.com/watch?v=-JyH5PAJ4-Y","https://www.youtube.com/watch?v=-JyH5PAJ4-Y","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Nick Schmidt Weekly Character Change / Trade Less Model","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","8389b115696a446c9b20015c70058ff429a27a0affb7839e14029400259dabfd","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"10pHBNVi4Jc","https://www.youtube.com/watch?v=10pHBNVi4Jc","https://www.youtube.com/watch?v=10pHBNVi4Jc","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Gon Gajala / Record Breaking Trading Champion Setups","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","c9498fb88dcb72ab0caf0f1e4a668b1daa30af542202300722f82f19dfa7f10d","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"62OaP91Jz9k","https://www.youtube.com/watch?v=62OaP91Jz9k","https://www.youtube.com/watch?v=62OaP91Jz9k","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Nick Schmidt Weekly Strategy","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","1dc3bdee2c569652bd261a300eeab71a5d556b8d9b808aa69e68a2717191dcd6","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"9ZJK8175drM","https://www.youtube.com/watch?v=9ZJK8175drM","https://www.youtube.com/watch?v=9ZJK8175drM","QUANTLENS TRANSCRIPT INTAKE REPORT ??? 9ZJK8175drM","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","18f0d6cd783ea9d7b853725f5c42f6555122c89589ac4dce1c0a4762ab342f33","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"c7ZSb2wNcOc","https://www.youtube.com/watch?v=c7ZSb2wNcOc","https://www.youtube.com/watch?v=c7ZSb2wNcOc","QUANTLENS TRANSCRIPT INTAKE REPORT ??? c7ZSb2wNcOc","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","972489ad2a4ffed0ae8dd4aab837a7a59ca217747c9644ca2e6c5d0dbc9ac1f9","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"fYxSQvuwOQc","https://www.youtube.com/watch?v=fYxSQvuwOQc","https://www.youtube.com/watch?v=fYxSQvuwOQc","QUANTLENS TRANSCRIPT INTAKE REPORT ??? fYxSQvuwOQc","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","72eca8fb506988658f5fe6cd285d7e2aa2eca6e8d672bb8560ef65d2f7d29305","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"ivL6E6Lc6gM","https://www.youtube.com/watch?v=ivL6E6Lc6gM","https://www.youtube.com/watch?v=ivL6E6Lc6gM","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Charles Harris Perfect Pullback Trading Setup","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","4353f0f4702f38166be0c1ec00007a2f38df2b058bd011d9dde52ecc269cffe7","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"KQRuUWSZvLE","https://www.youtube.com/watch?v=KQRuUWSZvLE","https://youtu.be/KQRuUWSZvLE","QUANTLENS TRANSCRIPT INTAKE REPORT ??? KQRuUWSZvLE","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","8ce18d14a53e53cc1f4629240932d136466ebc014b3503ea4ddfd72223cdaa7d","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"kTqKRi-j9kM","https://www.youtube.com/watch?v=kTqKRi-j9kM","https://www.youtube.com/watch?v=kTqKRi-j9kM","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Linda Bradford Raschke / 5 Essential Sell Rules & Trade Management","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","9a1c22d82d1c9ffb169f1451d5804f91e51ee4e4f345302055cb1e824d63303f","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"MnXQOt7","https://www.youtube.com/watch?v=MnXQOt7_ZP0","https://www.youtube.com/watch?v=MnXQOt7_ZP0","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Jim Roppel AI Bull Market / Position Trading Framework","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","afe72844ad5890e7f9fc9764590da3987f0f2815a69b598210d3d58918dfb426","","NEW","2026-05-03","2026-05-29","1","Indexed from 00_INBOX_REPORTS/3 May?s batch; awaiting triage"
"Ne3X-l6W4CQ","https://www.youtube.com/watch?v=Ne3X-l6W4CQ","https://youtu.be/Ne3X-l6W4CQ","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Ne3X-l6W4CQ","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","74826d735480f023540d29ee94b30d7ed99588483c24aabfc3fc62368128903d","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"NGyE4YIgGpU","https://www.youtube.com/watch?v=NGyE4YIgGpU","https://youtu.be/NGyE4YIgGpU","QuantLens Intake Report ??? Tito Adhikary / Options Momentum Breakout","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","1a66dad19c3ae268dac251a357e7d5b5352e3fe3af7ee834e13a78c4cfb21681","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"O0GpSPtmCuM","https://www.youtube.com/watch?v=O0GpSPtmCuM","https://www.youtube.com/watch?v=O0GpSPtmCuM","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Stan Weinstein Stage Analysis / Current Market Warnings","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","063fbc1d4b49d6dfe6348591b7166fb4ed270d0aa54e92e2391b34e8b9ca8a52","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"Tm0dkf8_giA","https://www.youtube.com/watch?v=Tm0dkf8_giA","https://www.youtube.com/watch?v=Tm0dkf8_giA","QUANTLENS TRANSCRIPT INTAKE REPORT ??? VCP Breakout / Volatility Contraction Pattern","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","64f115f38347149dc790e018634a5e67170899deeed18bea9508285ac94afc25","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"UmLa9FAlMgw","https://www.youtube.com/watch?v=UmLa9FAlMgw","https://www.youtube.com/watch?v=UmLa9FAlMgw","QUANTLENS TRANSCRIPT INTAKE REPORT ??? Brian Shannon / AVWAP Trading Indicator Secrets and Setups","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","c8a64b06533d84781209c68731375ce457b5308ba1ef65b9960c4d79ad131029","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"XNZ4f-b3ED8","https://www.youtube.com/watch?v=XNZ4f-b3ED8","https://youtu.be/XNZ4f-b3ED8","QUANTLENS TRANSCRIPT INTAKE REPORT ??? XNZ4f-b3ED8","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","010f11f9bf759172ca7c1c38525ee7d61bbfb740bb873fdb596fcffab7039096","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"Lot25-2fb-4","https://www.youtube.com/watch?v=Lot25-2fb-4","https://www.youtube.com/watch?v=Lot25-2fb-4","QuantLens Transcript Intake Report ??? 001 / 068","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","2e59aa0069fd38c1c00a04c1e8118f473008c8a3859ee09cee9845e924dc0ed4","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"oZH6","https://www.youtube.com/watch?v=oZH6_XRxtDc","https://www.youtube.com/watch?v=oZH6_XRxtDc","QuantLens Transcript Intake Report ??? 002 / 068","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","df1c7d78ec7af3162cb4f4d80ac8bc48931134ce14d3fe6ddefc8508ce9b6eeb","","NEW","2026-05-03","2026-05-29","1","Indexed from 00_INBOX_REPORTS/3 May?s batch; awaiting triage"
"NwgJQyoUAaI","https://www.youtube.com/watch?v=NwgJQyoUAaI","https://www.youtube.com/watch?v=NwgJQyoUAaI","QuantLens Transcript Intake Report ??? 003 / 068","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","6e324b5e2b672f7d5ce42b26857c5809f0864c7daf5cff4228490bb52f9b4e45","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"M","https://www.youtube.com/watch?v=M_tD6X0CSOI","https://www.youtube.com/watch?v=M_tD6X0CSOI","QuantLens Transcript Intake Report ??? 004 / 068","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","da28a52239c9683a2cc0557e45ce0e2d3b32567356732fce0af5266a6104f1a7","","NEW","2026-05-03","2026-05-29","1","Indexed from 00_INBOX_REPORTS/3 May?s batch; awaiting triage"
"jD4nynuWfEU","https://www.youtube.com/watch?v=jD4nynuWfEU","https://www.youtube.com/watch?v=jD4nynuWfEU","QuantLens Transcript Intake Report ??? 005 / 068","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","8dbc1ad2c04837cc55c25e90c0a630a69202436ccced2500e82a68f6ba00f50b","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"HAN1kymVbTc","https://www.youtube.com/watch?v=HAN1kymVbTc","https://www.youtube.com/watch?v=HAN1kymVbTc","QuantLens Transcript Intake Report ??? 006 / 068","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","1a7145afe456d875baa9ca29d4a7afdf59b60b68b9045f3c374b7d06172ec89e","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"2f5VfmlU90U","https://www.youtube.com/watch?v=2f5VfmlU90U","https://www.youtube.com/watch?v=2f5VfmlU90U","QuantLens Transcript Intake Report ??? The Mind of a Trader / Charles Harris","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","3585812cb59b54bcfb3dbe6981026d93ce06047f14997f5b07fb1184c95b5b92","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"4-IjRmw7SZI","https://www.youtube.com/watch?v=4-IjRmw7SZI","https://www.youtube.com/watch?v=4-IjRmw7SZI","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","7c452dc91e1c9469c68c19c7d73e7e95debd305468f1f977aa4f687504002ff4","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"6aOnCK1gv2w","https://www.youtube.com/watch?v=6aOnCK1gv2w","https://www.youtube.com/watch?v=6aOnCK1gv2w","QuantLens Transcript Intake Report ??? 6aOnCK1gv2w","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","0b6864ecd8d6c0e78117c2c76c6d728e142dc28ee2b4aec15aa5dc6ec76e34a9","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"6tnREqUJ1WY","https://www.youtube.com/watch?v=6tnREqUJ1WY","https://www.youtube.com/watch?v=6tnREqUJ1WY","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","f21f13cd1cc0575e0f7a23b911dad5a87c37c4e419575496d0e85ff9ff10bac1","","WIKI_ONLY","2026-05-03","2026-05-29","1","Triaged 2026-05-29: WIKI_ONLY"
"a4uJ3rHhbfA","https://www.youtube.com/watch?v=a4uJ3rHhbfA","https://www.youtube.com/watch?v=a4uJ3rHhbfA","QuantLens Transcript Intake Report ??? Anish Sikri / The Art of Position Sizing","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","ad4dac2e352c171173575ff76826093c8fe004f86a1ff248d87e956d7c0a31c4","","SALVAGE_ONLY","2026-05-03","2026-05-29","1","Triaged 2026-05-29: SALVAGE_ONLY"
"aDRYV4mjlHA","https://www.youtube.com/watch?v=aDRYV4mjlHA","https://www.youtube.com/watch?v=aDRYV4mjlHA","QuantLens Transcript Intake Report ??? The Million Dollar TQQQ Swing Trading Strategy / Vibha Jha","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","459e628fbfd91a86ac9fe32141ec9a1a5933986138f9dcc6138cefa0f2b2e009","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"C9Pvd9UD0jM","https://www.youtube.com/watch?v=C9Pvd9UD0jM","https://www.youtube.com/watch?v=C9Pvd9UD0jM","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","edbf5a2560f259101c9181235ad6e5a1e4c77c1deceb987d5b3688ca2a168c2a","","SALVAGE_ONLY","2026-05-03","2026-05-29","1","Triaged 2026-05-29: SALVAGE_ONLY"
"CtioOmc1Eig","https://www.youtube.com/watch?v=CtioOmc1Eig","https://www.youtube.com/watch?v=CtioOmc1Eig","QuantLens Transcript Intake Report ??? Trade Like a Professional / Charles Harris","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","75010d76c96952583afcd2e5c478ac7025a5fcee34b17e5af429b08ee62a494e","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"DPA35Gug3Y4","https://www.youtube.com/watch?v=DPA35Gug3Y4","https://www.youtube.com/watch?v=DPA35Gug3Y4","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","de24bc54004fc363aa63942b25902c02d2d03003ac2778b45f720aa1d1cb220f","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"ElocJ-b","https://www.youtube.com/watch?v=ElocJ-b_NTs","https://www.youtube.com/watch?v=ElocJ-b_NTs","QuantLens Transcript Intake Report ??? Oliver Kell / 10 Principles of Trading","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","9ca8b7500ca0f7a574946cbfb16e5035d14790f59871060200313bb43e56a7ea","","NEW","2026-05-03","2026-05-29","1","Indexed from 00_INBOX_REPORTS/3 May?s batch; awaiting triage"
"eWtY7uoJL","https://www.youtube.com/watch?v=eWtY7uoJL_0","https://www.youtube.com/watch?v=eWtY7uoJL_0","QuantLens Transcript Intake Report ??? David Ryan / Price-Volume, CANSLIM Precedent & Trading Discipline","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","c08f797a0eccb9af565a7a74cd5208648241d34362d897159facbf239ae8396c","","NEW","2026-05-03","2026-05-29","1","Indexed from 00_INBOX_REPORTS/3 May?s batch; awaiting triage"
"FiUGDA7eMyU","https://www.youtube.com/watch?v=FiUGDA7eMyU","https://www.youtube.com/watch?v=FiUGDA7eMyU","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","5a488f23ab589dc7b32f1d36af1df4bb981db61078fefa7a730bff504aaf3f1d","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"FtAshnE3MwM","https://www.youtube.com/watch?v=FtAshnE3MwM","https://www.youtube.com/watch?v=FtAshnE3MwM","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","3dd0b2fee9f8fa66c6deb86d7249e4e70b753172a83aae0ff37fd380413381e4","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"GHZBv1W4-II","https://www.youtube.com/watch?v=GHZBv1W4-II","https://www.youtube.com/watch?v=GHZBv1W4-II","QuantLens Transcript Intake Report ??? GHZBv1W4-II","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","c0c9397ce3ae13b776d8bab001313e411ec196527c4458dc6e946fa7f69ebca1","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"jLioqyVlRkE","https://www.youtube.com/watch?v=jLioqyVlRkE","https://www.youtube.com/watch?v=jLioqyVlRkE","QuantLens Transcript Intake Report ??? From Blowing Up 3 Times to Managing a $200 Million Hedge Fund","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","8e7bce424102e718a05f0ac577d8950d65320ff37c472d9938e6e2be25e5d6a1","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"kao-hhaQnig","https://www.youtube.com/watch?v=kao-hhaQnig","https://www.youtube.com/watch?v=kao-hhaQnig","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","fff3c7c269b2bb86eb461c9e7966ad68fe144d45f783839f6a535f7960d6c066","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"lpjTNygfnzM","https://www.youtube.com/watch?v=lpjTNygfnzM","https://www.youtube.com/watch?v=lpjTNygfnzM","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","d94dd49038a0abfdf548c9a449eac4cc14d131f58b58f6142afbf4e8a81bfd17","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"lS9zbnLi1Gg","https://www.youtube.com/watch?v=lS9zbnLi1Gg","https://www.youtube.com/watch?v=lS9zbnLi1Gg","QuantLens Transcript Intake Report ??? 283% Gain in 1 Year: The Story of the 22-Year-Old Swing Trader","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","168c828406a49d6393d6b9afab43d2eb24a90e857d90052dd57a7602b0b69170","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"lTiR1pc82EE","https://www.youtube.com/watch?v=lTiR1pc82EE","https://www.youtube.com/watch?v=lTiR1pc82EE","QuantLens Transcript Intake Report","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","68f3fec7cc2621d56809c995823979b3d5d0767bc7af61cb0feaaf828dc362a5","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"QzzKqmPcB3A","https://www.youtube.com/watch?v=QzzKqmPcB3A","https://www.youtube.com/watch?v=QzzKqmPcB3A","QuantLens Transcript Intake Report ??? 7 Steps to Beat the Market - Ultimate Trading Guide Ep","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","589fef5e1c94e2e262119f97a2a37912582af23507f50d8fc451e1f2a9961496","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
"R1sNTB2Vh7w","https://www.youtube.com/watch?v=R1sNTB2Vh7w","https://www.youtube.com/watch?v=R1sNTB2Vh7w","QuantLens Transcript Intake Report ??? 48 Years of Trading Lessons with Market Wizard Peter Brandt","UNKNOWN_CHANNEL","UNKNOWN_CHANNEL","a2d702f26e1a2d22115e1f25fe62844b4d4080b1768a6ffa3ce432458e5681c4","","TRIAGED","2026-05-03","2026-05-29","1","Triaged 2026-05-29: TRIAGED"
